vehicle_number,total_violations,unique_hotspots,unique_junctions,first_seen,last_seen,vehicle_type_mode,approved_violations,active_days,repeat_violation_flag,chronic_offender_flag,approval_rate
FKN00GL32387,25,1,1,2023-11-10 00:00:46+00:00,2024-04-07 20:01:46+00:00,CAR,10,21,1,1,0.399999999984
FKN00GL1498,25,1,1,2023-11-18 04:31:46+00:00,2024-04-06 03:20:46+00:00,MOTOR CYCLE,6,21,1,1,0.2399999999904
FKN00GL7963,25,2,1,2023-12-16 06:54:46+00:00,2024-03-22 05:47:46+00:00,SCOOTER,2,20,1,1,0.0799999999968
FKN00GL2819,24,1,1,2023-12-07 23:04:46+00:00,2024-02-26 22:34:46+00:00,SCOOTER,16,22,1,1,0.6666666666388888
FKN00GL9182,24,2,2,2023-11-17 00:29:46+00:00,2024-03-10 04:44:46+00:00,SCOOTER,13,20,1,1,0.5416666666440972
FKN00GL0635,24,1,1,2023-12-16 05:14:46+00:00,2024-03-28 08:02:46+00:00,SCOOTER,12,20,1,1,0.49999999997916666
FKN00GL0395,24,2,2,2023-11-15 22:28:46+00:00,2024-04-03 03:38:46+00:00,SCOOTER,11,22,1,1,0.4583333333142361
FKN00GL2692,24,1,1,2023-11-17 04:07:46+00:00,2024-03-12 22:55:46+00:00,SCOOTER,7,20,1,1,0.2916666666545139
FKN00GL2445,24,1,1,2023-11-18 00:52:46+00:00,2024-03-26 23:26:46+00:00,MOTOR CYCLE,2,13,1,1,0.0833333333298611
FKN00GL17388,23,3,3,2023-11-10 04:56:46+00:00,2024-01-20 02:16:46+00:00,SCOOTER,18,20,1,1,0.7826086956181475
FKN00GL22956,23,2,2,2023-11-15 20:29:46+00:00,2024-02-06 20:12:46+00:00,SCOOTER,14,18,1,1,0.608695652147448
FKN00GL0333,23,1,1,2023-11-11 05:08:46+00:00,2024-03-29 05:33:46+00:00,SCOOTER,12,18,1,1,0.5217391304120983
FKN00GL6355,23,1,1,2023-11-17 02:49:46+00:00,2024-04-03 23:02:46+00:00,MOTOR CYCLE,12,22,1,1,0.5217391304120983
FKN00GL13920,23,2,2,2023-11-11 09:19:46+00:00,2024-03-18 07:36:46+00:00,SCOOTER,9,20,1,1,0.39130434780907375
FKN00GL2817,23,1,1,2023-11-11 02:04:46+00:00,2024-03-17 03:16:46+00:00,MOTOR CYCLE,8,17,1,1,0.3478260869413989
FKN00GL21720,23,2,2,2023-11-11 02:17:46+00:00,2024-04-04 04:11:46+00:00,PASSENGER AUTO,5,18,1,1,0.21739130433837428
FKN00GL6443,23,1,1,2024-01-25 07:13:46+00:00,2024-02-10 05:09:46+00:00,MOTOR CYCLE,0,12,1,1,0.0
FKN00GL104980,22,2,2,2023-11-14 07:04:46+00:00,2024-01-09 03:54:46+00:00,SCOOTER,15,18,1,1,0.6818181817871901
FKN00GL6353,22,2,2,2023-11-14 07:00:46+00:00,2024-04-06 05:03:46+00:00,SCOOTER,14,20,1,1,0.6363636363347107
FKN00GL9526,22,1,1,2023-12-14 23:01:46+00:00,2024-02-26 22:31:46+00:00,SCOOTER,12,18,1,1,0.545454545429752
FKN00GL9334,22,2,2,2023-11-21 00:24:46+00:00,2024-03-27 04:17:46+00:00,SCOOTER,11,19,1,1,0.49999999997727274
FKN00GL2850,22,1,1,2023-11-17 04:28:46+00:00,2024-03-28 21:36:46+00:00,MOTOR CYCLE,11,21,1,1,0.49999999997727274
FKN00GL16746,22,4,1,2023-12-02 21:37:46+00:00,2024-03-04 01:47:46+00:00,SCHOOL VEHICLE,9,21,1,1,0.40909090907231405
FKN00GL4303,22,1,1,2023-11-16 00:31:46+00:00,2024-04-05 20:51:46+00:00,SCOOTER,9,20,1,1,0.40909090907231405
FKN00GL7910,22,1,1,2023-11-12 00:18:46+00:00,2024-03-11 22:29:46+00:00,SCOOTER,9,18,1,1,0.40909090907231405
FKN00GL12732,22,1,1,2023-11-12 04:54:46+00:00,2024-02-18 05:18:46+00:00,PASSENGER AUTO,8,17,1,1,0.3636363636198347
FKN00GL35922,22,1,1,2023-11-17 01:21:46+00:00,2024-03-28 02:58:46+00:00,PASSENGER AUTO,8,17,1,1,0.3636363636198347
FKN00GL6310,22,1,1,2023-11-15 04:49:46+00:00,2024-04-04 04:02:46+00:00,MOTOR CYCLE,8,17,1,1,0.3636363636198347
FKN00GL5362,22,1,1,2023-11-12 02:11:46+00:00,2024-03-29 05:18:46+00:00,CAR,5,17,1,1,0.2272727272623967
FKN00GL14399,22,2,2,2024-01-05 22:43:46+00:00,2024-04-04 00:07:46+00:00,SCOOTER,4,18,1,1,0.18181818180991735
FKN00GL18629,22,1,1,2023-12-25 02:50:46+00:00,2024-04-08 02:58:46+00:00,SCOOTER,0,22,1,1,0.0
FKN00GL18794,21,2,2,2023-11-12 22:47:46+00:00,2024-03-29 22:29:46+00:00,CAR,16,20,1,1,0.7619047618684808
FKN00GL11475,21,1,1,2023-11-10 21:39:46+00:00,2024-04-06 19:50:46+00:00,CAR,13,19,1,1,0.6190476190181405
FKN00GL17172,21,1,1,2023-11-11 02:04:46+00:00,2024-03-10 02:56:46+00:00,MOTOR CYCLE,10,16,1,1,0.47619047616780047
FKN00GL0636,21,1,1,2023-12-13 22:32:46+00:00,2024-04-05 20:52:46+00:00,SCOOTER,8,20,1,1,0.3809523809342404
FKN00GL11028,21,1,1,2023-11-15 19:42:46+00:00,2024-02-21 19:57:46+00:00,SCOOTER,8,18,1,1,0.3809523809342404
FKN00GL23079,21,3,3,2023-11-10 21:06:46+00:00,2024-04-03 21:32:46+00:00,CAR,7,21,1,1,0.3333333333174603
FKN00GL0907,21,1,1,2024-01-01 21:35:46+00:00,2024-03-15 22:03:46+00:00,MOTOR CYCLE,7,14,1,1,0.3333333333174603
FKN00GL3531,21,1,1,2023-11-15 23:12:46+00:00,2024-04-06 05:13:46+00:00,SCOOTER,7,18,1,1,0.3333333333174603
FKN00GL22258,21,2,2,2023-11-19 04:23:46+00:00,2024-03-30 07:15:46+00:00,PASSENGER AUTO,6,11,1,1,0.28571428570068025
FKN00GL3743,21,2,2,2023-11-27 06:19:46+00:00,2024-03-31 05:07:46+00:00,PASSENGER AUTO,6,17,1,1,0.28571428570068025
FKN00GL6334,21,1,1,2023-11-18 04:32:46+00:00,2024-04-03 20:33:46+00:00,SCOOTER,6,20,1,1,0.28571428570068025
FKN00GL6006,21,1,1,2023-12-08 04:11:46+00:00,2024-04-08 01:09:46+00:00,SCOOTER,5,18,1,1,0.23809523808390023
FKN00GL8043,21,1,1,2023-11-18 03:39:46+00:00,2024-03-22 06:48:46+00:00,SCOOTER,1,18,1,1,0.04761904761678005
FKN00GL18528,21,1,1,2024-02-10 06:02:46+00:00,2024-03-22 05:40:46+00:00,SCOOTER,0,19,1,1,0.0
FKN00GL22063,21,1,1,2024-02-06 06:44:46+00:00,2024-03-23 03:34:46+00:00,MOTOR CYCLE,0,18,1,1,0.0
FKN00GL8015,21,1,1,2024-02-03 06:06:46+00:00,2024-03-30 06:18:46+00:00,MOTOR CYCLE,0,19,1,1,0.0
FKN00GL7998,20,1,1,2023-11-13 20:49:46+00:00,2024-03-20 23:40:46+00:00,CAR,15,16,1,1,0.7499999999625
FKN00GL0734,20,1,1,2023-11-16 01:02:46+00:00,2024-01-06 00:34:46+00:00,CAR,14,14,1,1,0.699999999965
FKN00GL6946,20,2,2,2023-11-14 00:57:46+00:00,2024-02-06 21:38:46+00:00,SCOOTER,13,17,1,1,0.6499999999675
FKN00GL6860,20,1,1,2023-11-15 22:34:46+00:00,2024-04-06 19:53:46+00:00,CAR,13,19,1,1,0.6499999999675
FKN00GL1048,20,1,1,2023-11-30 21:54:46+00:00,2024-04-02 01:37:46+00:00,SCOOTER,12,17,1,1,0.59999999997
FKN00GL1199,20,1,1,2023-11-14 07:03:46+00:00,2024-04-03 00:23:46+00:00,MOTOR CYCLE,12,17,1,1,0.59999999997
FKN00GL10449,20,2,2,2023-11-28 19:42:46+00:00,2024-03-11 19:42:46+00:00,CAR,9,16,1,1,0.4499999999775
FKN00GL7760,20,2,2,2023-11-11 08:54:46+00:00,2024-04-01 07:24:46+00:00,PASSENGER AUTO,9,17,1,1,0.4499999999775
FKN00GL19006,20,2,2,2023-11-22 00:39:46+00:00,2024-03-12 22:55:46+00:00,MOTOR CYCLE,8,18,1,1,0.39999999998
FKN00GL3018,20,3,3,2023-11-17 04:07:46+00:00,2024-02-02 01:33:46+00:00,SCOOTER,7,16,1,1,0.3499999999825
FKN00GL25402,20,2,2,2023-11-16 05:57:46+00:00,2024-04-08 04:04:46+00:00,PASSENGER AUTO,6,18,1,1,0.299999999985
FKN00GL1243,20,3,3,2023-12-06 21:54:46+00:00,2024-04-07 22:08:46+00:00,CAR,5,20,1,1,0.2499999999875
FKN00GL24261,20,2,2,2023-11-13 05:03:46+00:00,2024-04-01 02:21:46+00:00,SCOOTER,5,14,1,1,0.2499999999875
FKN00GL18074,20,1,1,2024-01-02 23:20:46+00:00,2024-03-29 06:55:46+00:00,SCOOTER,5,18,1,1,0.2499999999875
FKN00GL18309,20,3,2,2023-11-24 04:47:46+00:00,2024-04-02 00:51:46+00:00,PASSENGER AUTO,4,16,1,1,0.19999999999
FKN00GL22537,20,1,1,2023-12-07 03:44:46+00:00,2024-04-07 05:03:46+00:00,SCOOTER,3,18,1,1,0.1499999999925
FKN00GL7586,20,1,1,2024-01-07 04:28:46+00:00,2024-04-04 04:26:46+00:00,SCOOTER,3,11,1,1,0.1499999999925
FKN00GL7612,20,2,1,2023-12-27 05:55:46+00:00,2024-04-07 20:51:46+00:00,CAR,2,20,1,1,0.099999999995
FKN00GL24467,20,1,1,2024-01-09 06:31:46+00:00,2024-03-31 06:39:46+00:00,SCOOTER,2,19,1,1,0.099999999995
FKN00GL3688,20,2,2,2024-01-08 02:42:46+00:00,2024-03-28 00:46:46+00:00,SCOOTER,0,16,1,1,0.0
FKN00GL12905,19,1,1,2023-12-02 01:46:46+00:00,2024-02-20 23:22:46+00:00,MAXI-CAB,16,15,1,1,0.8421052631135734
FKN00GL9990,19,2,2,2023-11-14 00:56:46+00:00,2024-02-08 21:12:46+00:00,SCOOTER,14,16,1,1,0.7368421052243768
FKN00GL10831,19,1,1,2023-11-12 02:20:46+00:00,2024-01-27 04:52:46+00:00,SCOOTER,13,14,1,1,0.6842105262797784
FKN00GL2993,19,2,2,2023-11-15 20:31:46+00:00,2024-02-02 20:54:46+00:00,SCOOTER,12,17,1,1,0.63157894733518
FKN00GL11463,19,1,1,2023-12-05 03:27:46+00:00,2024-02-23 02:42:46+00:00,SCOOTER,10,16,1,1,0.5263157894459833
FKN00GL56080,19,1,1,2023-11-23 01:34:46+00:00,2024-03-08 03:58:46+00:00,SCOOTER,10,13,1,1,0.5263157894459833
FKN00GL19014,19,2,2,2023-11-10 21:36:46+00:00,2024-04-06 19:44:46+00:00,CAR,9,17,1,1,0.47368421050138504
FKN00GL20898,19,2,2,2023-11-16 19:55:46+00:00,2024-03-23 05:34:46+00:00,SCOOTER,9,15,1,1,0.47368421050138504
FKN00GL7916,19,2,2,2023-11-11 04:29:46+00:00,2024-04-07 03:39:46+00:00,SCOOTER,9,18,1,1,0.47368421050138504
FKN00GL20170,19,1,1,2023-11-10 21:20:46+00:00,2024-04-08 06:20:46+00:00,LGV,9,18,1,1,0.47368421050138504
FKN00GL21004,19,1,1,2023-11-11 04:31:46+00:00,2024-03-23 05:24:46+00:00,SCOOTER,9,19,1,1,0.47368421050138504
FKN00GL32651,19,1,1,2023-11-12 02:58:46+00:00,2024-03-17 03:11:46+00:00,SCOOTER,9,14,1,1,0.47368421050138504
FKN00GL33465,19,1,1,2023-11-10 21:36:46+00:00,2024-03-11 04:07:46+00:00,SCOOTER,9,17,1,1,0.47368421050138504
FKN00GL3832,19,1,1,2023-11-16 22:13:46+00:00,2024-02-07 21:45:46+00:00,MOTOR CYCLE,9,19,1,1,0.47368421050138504
FKN00GL9606,19,3,3,2023-11-10 21:04:46+00:00,2024-04-07 21:48:46+00:00,CAR,8,19,1,1,0.4210526315567867
FKN00GL6219,19,3,3,2023-11-24 02:58:46+00:00,2024-03-31 00:35:46+00:00,SCOOTER,7,19,1,1,0.3684210526121884
FKN00GL0954,19,1,1,2023-12-16 04:22:46+00:00,2024-04-06 05:06:46+00:00,SCOOTER,6,18,1,1,0.31578947366759
FKN00GL6423,19,2,1,2023-12-25 03:14:46+00:00,2024-02-07 05:54:46+00:00,SCOOTER,4,15,1,1,0.21052631577839334
FKN00GL2735,19,1,1,2023-11-21 03:23:46+00:00,2024-03-28 03:40:46+00:00,SCOOTER,4,16,1,1,0.21052631577839334
FKN00GL4020,19,1,1,2024-01-23 04:56:46+00:00,2024-04-06 04:51:46+00:00,SCOOTER,2,19,1,1,0.10526315788919667
FKN00GL4480,19,1,1,2024-01-09 06:31:46+00:00,2024-03-28 02:56:46+00:00,SCOOTER,1,14,1,1,0.052631578944598335
FKN00GL0930,18,1,1,2023-11-10 23:13:46+00:00,2024-03-09 00:58:46+00:00,PASSENGER AUTO,14,18,1,1,0.7777777777345679
FKN00GL11705,18,1,1,2023-11-14 01:00:46+00:00,2024-01-24 22:04:46+00:00,SCOOTER,14,16,1,1,0.7777777777345679
FKN00GL60534,18,2,2,2023-11-11 04:20:46+00:00,2024-04-06 06:43:46+00:00,SCOOTER,11,17,1,1,0.6111111110771605
FKN00GL4107,18,2,1,2023-11-28 04:43:46+00:00,2024-02-27 06:39:46+00:00,CAR,9,12,1,1,0.4999999999722222
FKN00GL4341,18,1,1,2023-12-06 02:30:46+00:00,2024-03-28 22:12:46+00:00,MOTOR CYCLE,9,15,1,1,0.4999999999722222
FKN00GL44151,18,1,1,2023-11-11 03:56:46+00:00,2024-03-10 23:44:46+00:00,MOTOR CYCLE,9,16,1,1,0.4999999999722222
FKN00GL1641,18,1,1,2023-11-11 03:25:46+00:00,2024-02-23 08:22:46+00:00,SCOOTER,8,16,1,1,0.44444444441975306
FKN00GL6391,18,1,1,2023-12-04 23:05:46+00:00,2024-03-28 21:42:46+00:00,CAR,8,18,1,1,0.44444444441975306
FKN00GL2715,18,1,1,2023-11-15 23:49:46+00:00,2024-03-28 03:14:46+00:00,MOTOR CYCLE,6,16,1,1,0.3333333333148148
FKN00GL19786,18,2,2,2023-11-29 19:58:46+00:00,2024-04-05 19:53:46+00:00,SCOOTER,5,16,1,1,0.2777777777623457
FKN00GL1032,18,1,1,2023-12-13 02:23:46+00:00,2024-03-15 22:03:46+00:00,SCOOTER,5,15,1,1,0.2777777777623457
FKN00GL6629,18,1,1,2024-01-01 05:16:46+00:00,2024-02-06 05:09:46+00:00,MOTOR CYCLE,4,11,1,1,0.22222222220987653
FKN00GL6652,18,3,3,2024-01-10 19:53:46+00:00,2024-04-03 21:56:46+00:00,TEMPO,3,18,1,1,0.1666666666574074
FKN00GL1049,18,1,1,2024-02-20 03:54:46+00:00,2024-03-28 02:37:46+00:00,SCOOTER,2,13,1,1,0.11111111110493826
FKN00GL24491,18,1,1,2023-12-01 01:47:46+00:00,2024-03-24 00:31:46+00:00,SCOOTER,2,16,1,1,0.11111111110493826
FKN00GL7354,18,1,1,2024-01-01 20:54:46+00:00,2024-03-18 22:32:46+00:00,SCOOTER,2,10,1,1,0.11111111110493826
FKN00GL111727,17,1,1,2023-11-14 05:40:46+00:00,2024-01-03 05:52:46+00:00,MOTOR CYCLE,15,15,1,1,0.8823529411245675
FKN00GL0889,17,1,1,2023-12-16 00:28:46+00:00,2024-03-15 22:23:46+00:00,SCOOTER,13,13,1,1,0.7647058823079584
FKN00GL58024,17,1,1,2023-11-15 00:24:46+00:00,2024-03-17 23:40:46+00:00,SCOOTER,12,9,1,1,0.705882352899654
FKN00GL2317,17,2,2,2023-11-12 07:34:46+00:00,2024-02-23 02:22:46+00:00,CAR,11,10,1,1,0.6470588234913495
FKN00GL51416,17,2,2,2023-12-22 23:46:46+00:00,2024-04-06 19:33:46+00:00,CAR,10,12,1,1,0.588235294083045
FKN00GL1880,17,1,1,2023-11-14 01:01:46+00:00,2024-03-29 05:33:46+00:00,SCOOTER,10,13,1,1,0.588235294083045
FKN00GL5111,17,1,1,2023-11-09 22:50:46+00:00,2024-04-05 20:41:46+00:00,SCOOTER,10,17,1,1,0.588235294083045
FKN00GL11577,17,1,1,2023-11-12 04:01:46+00:00,2024-04-07 03:11:46+00:00,SCOOTER,9,13,1,1,0.5294117646747405
FKN00GL12904,17,1,1,2023-12-02 23:30:46+00:00,2024-02-10 03:56:46+00:00,CAR,9,14,1,1,0.5294117646747405
FKN00GL0397,17,1,1,2023-11-12 00:18:46+00:00,2024-04-07 02:59:46+00:00,SCOOTER,7,14,1,1,0.41176470585813146
FKN00GL10031,17,1,1,2023-11-21 23:21:46+00:00,2024-03-15 00:56:46+00:00,MOTOR CYCLE,7,14,1,1,0.41176470585813146
FKN00GL41563,17,3,3,2023-11-18 22:17:46+00:00,2024-04-03 21:32:46+00:00,TEMPO,6,17,1,1,0.352941176449827
FKN00GL13988,17,1,1,2023-11-25 00:36:46+00:00,2024-03-09 00:41:46+00:00,SCOOTER,6,12,1,1,0.352941176449827
FKN00GL18168,17,1,1,2023-11-15 23:41:46+00:00,2024-02-23 23:28:46+00:00,SCOOTER,6,15,1,1,0.352941176449827
FKN00GL3502,17,1,1,2023-11-15 02:23:46+00:00,2024-03-28 08:03:46+00:00,MOTOR CYCLE,6,15,1,1,0.352941176449827
FKN00GL73563,17,1,1,2023-11-12 04:26:46+00:00,2024-03-23 03:01:46+00:00,SCOOTER,6,12,1,1,0.352941176449827
FKN00GL0049,17,1,1,2023-11-26 01:31:46+00:00,2024-03-10 07:11:46+00:00,SCOOTER,5,12,1,1,0.2941176470415225
FKN00GL25145,17,1,1,2023-11-13 06:16:46+00:00,2024-04-01 06:09:46+00:00,SCOOTER,5,15,1,1,0.2941176470415225
FKN00GL3695,17,1,1,2024-01-10 06:16:46+00:00,2024-04-06 05:06:46+00:00,SCOOTER,5,13,1,1,0.2941176470415225
FKN00GL17808,17,1,1,2023-11-21 04:34:46+00:00,2024-03-12 21:29:46+00:00,MOTOR CYCLE,4,14,1,1,0.235294117633218
FKN00GL7926,17,1,1,2023-12-12 03:53:46+00:00,2024-03-19 04:31:46+00:00,CAR,4,10,1,1,0.235294117633218
FKN00GL5280,17,3,3,2023-11-10 21:03:46+00:00,2024-04-03 21:55:46+00:00,CAR,3,17,1,1,0.1764705882249135
FKN00GL8154,17,1,1,2023-12-17 05:46:46+00:00,2024-02-24 08:18:46+00:00,SCOOTER,2,12,1,1,0.117647058816609
FKN00GL7952,17,2,1,2024-02-14 21:00:46+00:00,2024-04-07 20:59:46+00:00,LORRY/GOODS VEHICLE,1,16,1,1,0.0588235294083045
FKN00GL2996,16,3,3,2023-11-21 22:25:46+00:00,2024-04-02 02:04:46+00:00,SCOOTER,13,13,1,1,0.8124999999492187
FKN00GL6780,16,3,3,2023-12-11 23:27:46+00:00,2024-03-05 21:50:46+00:00,CAR,13,16,1,1,0.8124999999492187
FKN00GL32407,16,1,1,2023-11-11 00:51:46+00:00,2024-03-26 03:31:46+00:00,CAR,13,14,1,1,0.8124999999492187
FKN00GL101845,16,1,1,2023-11-14 04:46:46+00:00,2023-12-30 03:04:46+00:00,SCOOTER,12,13,1,1,0.749999999953125
FKN00GL0088,16,2,2,2023-11-14 22:06:46+00:00,2024-02-10 03:09:46+00:00,SCOOTER,11,11,1,1,0.6874999999570313
FKN00GL2863,16,2,2,2023-12-06 23:03:46+00:00,2024-02-01 03:10:46+00:00,SCOOTER,11,16,1,1,0.6874999999570313
FKN00GL27365,16,1,1,2023-11-10 03:04:46+00:00,2024-04-07 00:38:46+00:00,CAR,11,15,1,1,0.6874999999570313
FKN00GL54261,16,1,1,2023-12-09 00:36:46+00:00,2024-03-22 02:40:46+00:00,SCOOTER,10,12,1,1,0.6249999999609375
FKN00GL17572,16,3,3,2023-12-09 19:46:46+00:00,2024-01-19 05:22:46+00:00,CAR,9,13,1,1,0.5624999999648438
FKN00GL32527,16,1,1,2023-11-11 03:21:46+00:00,2024-03-27 01:50:46+00:00,MOTOR CYCLE,9,13,1,1,0.5624999999648438
FKN00GL6175,16,1,1,2023-11-12 04:16:46+00:00,2024-02-02 04:12:46+00:00,SCOOTER,9,16,1,1,0.5624999999648438
FKN00GL14734,16,1,1,2023-11-17 05:53:46+00:00,2024-04-07 01:57:46+00:00,SCOOTER,8,14,1,1,0.49999999996875
FKN00GL49799,16,1,1,2023-11-12 02:52:46+00:00,2024-04-07 04:07:46+00:00,SCOOTER,8,12,1,1,0.49999999996875
FKN00GL50347,16,1,1,2023-11-11 00:12:46+00:00,2024-04-04 01:40:46+00:00,SCOOTER,8,16,1,1,0.49999999996875
FKN00GL9032,16,1,1,2023-12-14 02:18:46+00:00,2024-03-14 00:48:46+00:00,SCOOTER,8,16,1,1,0.49999999996875
FKN00GL0923,16,1,1,2023-11-15 23:19:46+00:00,2024-03-15 00:20:46+00:00,SCOOTER,7,16,1,1,0.43749999997265626
FKN00GL11800,16,1,1,2023-11-15 04:54:46+00:00,2024-04-08 01:11:46+00:00,MOTOR CYCLE,7,16,1,1,0.43749999997265626
FKN00GL16984,16,1,1,2023-11-15 02:26:46+00:00,2024-03-21 05:13:46+00:00,MOTOR CYCLE,7,12,1,1,0.43749999997265626
FKN00GL17853,16,1,1,2023-11-15 03:29:46+00:00,2024-03-27 03:02:46+00:00,MOTOR CYCLE,7,15,1,1,0.43749999997265626
FKN00GL2353,16,1,1,2023-11-17 20:33:46+00:00,2024-04-07 20:06:46+00:00,CAR,7,16,1,1,0.43749999997265626
FKN00GL62335,16,3,3,2023-11-22 05:15:46+00:00,2024-04-05 22:20:46+00:00,SCOOTER,6,13,1,1,0.3749999999765625
FKN00GL0990,16,1,1,2023-12-09 00:36:46+00:00,2024-03-20 04:20:46+00:00,MOTOR CYCLE,6,14,1,1,0.3749999999765625
FKN00GL10586,16,1,1,2023-12-09 21:38:46+00:00,2024-04-03 03:15:46+00:00,LGV,6,13,1,1,0.3749999999765625
FKN00GL15642,16,1,1,2023-12-12 23:05:46+00:00,2024-04-04 04:36:46+00:00,PRIVATE BUS,6,12,1,1,0.3749999999765625
FKN00GL35636,16,1,1,2023-11-17 01:59:46+00:00,2024-03-07 00:24:46+00:00,SCOOTER,6,14,1,1,0.3749999999765625
FKN00GL7161,16,1,1,2023-11-16 21:36:46+00:00,2024-02-15 22:15:46+00:00,MOTOR CYCLE,6,16,1,1,0.3749999999765625
FKN00GL16020,16,4,4,2023-12-11 23:17:46+00:00,2024-04-06 19:34:46+00:00,LGV,5,16,1,1,0.31249999998046873
FKN00GL1473,16,3,3,2023-11-28 07:18:46+00:00,2024-03-27 05:26:46+00:00,LGV,5,16,1,1,0.31249999998046873
FKN00GL16534,16,1,1,2023-12-22 01:14:46+00:00,2024-03-22 02:28:46+00:00,SCOOTER,5,12,1,1,0.31249999998046873
FKN00GL68690,16,1,1,2023-11-14 19:52:46+00:00,2024-03-11 03:31:46+00:00,SCOOTER,5,14,1,1,0.31249999998046873
FKN00GL4516,16,2,2,2023-11-10 21:45:46+00:00,2024-04-04 19:43:46+00:00,LGV,4,15,1,1,0.249999999984375
FKN00GL4759,16,2,2,2023-11-20 05:17:46+00:00,2024-04-04 02:59:46+00:00,SCOOTER,4,12,1,1,0.249999999984375
FKN00GL0938,16,1,1,2024-01-05 22:24:46+00:00,2024-03-22 02:40:46+00:00,SCOOTER,4,16,1,1,0.249999999984375
FKN00GL14212,16,1,1,2023-11-29 01:33:46+00:00,2024-04-06 05:13:46+00:00,SCOOTER,4,13,1,1,0.249999999984375
FKN00GL3242,16,1,1,2023-11-15 03:45:46+00:00,2024-03-28 07:46:46+00:00,SCOOTER,4,15,1,1,0.249999999984375
FKN00GL31097,16,1,1,2023-11-26 04:22:46+00:00,2024-03-05 07:14:46+00:00,SCOOTER,3,12,1,1,0.18749999998828126
FKN00GL15781,16,3,2,2023-12-11 05:31:46+00:00,2024-03-30 09:45:46+00:00,PASSENGER AUTO,2,14,1,1,0.1249999999921875
FKN00GL23586,16,1,1,2023-12-31 04:32:46+00:00,2024-03-30 08:25:46+00:00,PASSENGER AUTO,2,9,1,1,0.1249999999921875
FKN00GL38195,16,1,1,2023-11-19 03:00:46+00:00,2024-04-04 07:54:46+00:00,PASSENGER AUTO,2,15,1,1,0.1249999999921875
FKN00GL40079,16,2,1,2023-11-11 04:19:46+00:00,2024-03-23 05:18:46+00:00,SCOOTER,1,12,1,1,0.06249999999609375
FKN00GL6630,16,1,1,2024-01-29 23:52:46+00:00,2024-03-30 06:18:46+00:00,MOTOR CYCLE,1,10,1,1,0.06249999999609375
