stage5_rank,st_dbscan_cluster_id,cluster_label,records_total,lambda_hr_peak_window,mean_dwell_minutes,mu_departures_per_hour,blocking_vehicles_L,road_class,lane_count,carriageway_width_m,link_length_m,base_capacity_pcu_hr,reduced_capacity_pcu_hr,capacity_loss_pct,free_flow_time_min,delay_minutes_per_vehicle,junction_degree,betweenness_centrality,criticality_factor,growth_pct_change,growth_multiplier,vehicle_width_avg_m,dominant_vehicle_type,unique_vehicles,unique_vehicle_types,geometry_source,centroid_lat,centroid_lon
11,550,POLICE_STATION::HAL Old Airport (Cluster 550),234,3.36,180.66666666666666,0.33210332103137213,10.117333302924918,road,2,7.0,250.0,3199.999999542857,3049.009362091093,0.04718457421071465,0.49999999999998335,0.021407012743903137,4,0.0,1.0,0.5161290322525147,1.5161290322525147,1.3602564102564103,SCOOTER,223,8,fallback,12.963904620512821,77.71733305213675
12,575,POLICE_STATION::R.T. Nagar (Cluster 575),149,2.36,192.55555555555554,0.3115983843030558,7.573851827584728,road,2,7.0,250.0,3199.999999542857,3050.315707558564,0.04677634125207175,0.49999999999998335,0.02120749915238304,4,0.0,1.0,0.0,1.0,1.8013422818791944,CAR,94,9,fallback,13.001403861744967,77.5958219590604
13,290,POLICE_STATION::Kodigehalli (Cluster 290),135,2.975,251.66666666666666,0.23841059602554276,12.478472169931546,road,2,7.0,250.0,3199.999999542857,3074.4515161542176,0.039233901064854915,0.49999999999998335,0.017568764861137284,4,0.0,1.0,17.285714283244896,18.285714283244896,0.9170370370370371,SCOOTER,124,5,fallback,13.071124075555556,77.58794889925926
14,747,POLICE_STATION::Shivajinagar (Cluster 747),27,4.0,94.4,0.635593220338983,6.293333323431823,road,2,7.0,250.0,3199.999999542857,3074.69274051655,0.03915851845161522,0.49999999999998335,0.01753284679736664,4,0.0,1.0,0.0,1.0,1.8148148148148149,CAR,27,4,fallback,12.980486874074074,77.6142360814815
15,509,POLICE_STATION::Vijayanagara (Cluster 509),40,8.0,94.4,0.635593220338983,12.586666646863646,road,2,7.0,250.0,3199.999999542857,3078.4775311973444,0.03797577136369845,0.49999999999998335,0.01697044448003026,4,0.0,1.0,0.0,1.0,0.8800000000000001,SCOOTER,40,3,fallback,12.967056625000001,77.54297912749999
16,411,POLICE_STATION::Mahadevapura (Cluster 411),39,7.8,94.4,0.635593220338983,12.271999980692055,road,2,7.0,250.0,3199.999999542857,3083.6560454734317,0.036357485652190435,0.49999999999998335,0.016204427613507284,4,0.0,1.0,0.0,1.0,0.8641025641025641,MOTOR CYCLE,39,2,fallback,12.98794847948718,77.73408087948718
17,331,POLICE_STATION::Electronic City (Cluster 331),21,4.2,94.4,0.635593220338983,6.607999989603414,road,2,7.0,250.0,3199.999999542857,3085.0369826137216,0.03592594279578831,0.49999999999998335,0.01600083366943781,4,0.0,1.0,0.0,1.0,1.5857142857142856,LORRY/GOODS VEHICLE,21,5,fallback,12.88718600779048,77.64967811483254
18,424,POLICE_STATION::HAL Old Airport (Cluster 424),18,3.4,94.4,0.635593220338983,5.349333324917049,road,2,7.0,250.0,3199.999999542857,3087.511161656741,0.03515276184473459,0.49999999999998335,0.015636771433268155,4,0.0,1.0,0.0,1.0,1.9166666666666667,CAR,18,2,fallback,12.947473322222223,77.69897805
19,608,JUNCTION::BTP155 - Katriguppe Junction (Cluster 608),32,6.4,94.4,0.635593220338983,10.069333317490917,road,2,7.0,250.0,3199.999999542857,3093.322605455461,0.033336685657375686,0.49999999999998335,0.01478521863197688,4,0.0,1.0,0.0,1.0,0.9656250000000001,SCOOTER,32,3,fallback,12.926888343749999,77.550888275
20,201,POLICE_STATION::Peenya (Cluster 201),16,3.2,94.4,0.635593220338983,5.034666658745459,road,2,7.0,250.0,3199.999999542857,3095.0487768808234,0.03279725708687309,0.49999999999998335,0.01453324257298979,4,0.0,1.0,0.0,1.0,1.9,CAR,16,2,fallback,13.027862537499999,77.51808095
21,178,POLICE_STATION::HAL Old Airport (Cluster 178),79,3.2666666666666666,94.4,0.635593220338983,5.139555547469322,road,2,7.0,250.0,3199.999999542857,3095.217752311492,0.03274445226478162,0.49999999999998335,0.014508600119212834,4,0.0,1.0,0.0,1.0,1.8582278481012655,CAR,79,7,fallback,12.939760343037975,77.69559861265822
22,363,POLICE_STATION::HAL Old Airport (Cluster 363),85,5.9,94.4,0.635593220338983,9.28266665206194,road,2,7.0,250.0,3199.999999542857,3095.280286930813,0.03272491019624102,0.49999999999998335,0.014499481475991487,4,0.0,1.0,0.0,1.0,1.0282352941176471,SCOOTER,81,7,fallback,12.933772612941178,77.69099126470589
23,98,POLICE_STATION::Hulimavu (Cluster 98),20,3.4,185.0,0.32432432432257124,10.483333301066388,road,2,7.0,250.0,3199.999999542857,3095.9094856072657,0.03252828560982157,0.49999999999998335,0.0144077652612354,4,0.0,1.0,0.0,1.0,0.905,MOTOR CYCLE,18,3,fallback,12.87620158,77.59541145
24,163,JUNCTION::BTP171 - Indian Express (Balekundri) (Cluster 163),16,3.2,94.4,0.635593220338983,5.034666658745459,road,2,7.0,250.0,3199.999999542857,3098.846354016621,0.031610514231767195,0.49999999999998335,0.013980435866626076,4,0.0,1.0,0.0,1.0,1.8312499999999998,CAR,16,3,fallback,12.98839073125,77.598701625
25,239,JUNCTION::BTP137 - Madiwala Traffic PS Junction (Cluster 239),76,0.7333333333333333,445.0,0.13483146067385432,5.4388888485626845,road,2,7.0,250.0,3199.999999542857,3099.4206318962792,0.0314310523943484,0.49999999999998335,0.013897023128022138,4,0.0,1.0,-0.05128205128073636,1.0,1.6855263157894735,CAR,72,11,fallback,12.924605011842104,77.61875365921053
26,728,"JUNCTION::BTP148 - 17th Main, Doopanahalli Bus Stop (Cluster 728)",46,1.4,282.0,0.21276595744605403,6.579999969097333,road,2,7.0,250.0,3199.999999542857,3100.1867130836217,0.03119165202326979,0.49999999999998335,0.01378582637333761,4,0.0,1.0,0.0,1.0,1.382608695652174,CAR,44,6,fallback,12.964853636956521,77.64143355869565
27,32,JUNCTION::BTP027 - Modi Bridge Junction (Cluster 32),3168,3.624390243902439,110.9,0.5410279531060321,6.699081288491281,road,2,7.0,250.0,3199.999999542857,3103.598189804378,0.030125565547881483,0.49999999999998335,0.013291689519138629,4,0.0,1.0,-0.21936929174485487,1.0,1.3116161616161615,SCOOTER,2725,17,fallback,12.999462385332253,77.54999883660976
28,160,POLICE_STATION::Mahadevapura (Cluster 160),31,1.5333333333333334,204.0,0.2941176470573818,5.213333315633555,road,2,7.0,250.0,3199.999999542857,3104.608973165863,0.029809695747372356,0.49999999999998335,0.01314560738044017,4,0.0,1.0,-0.4499999999775,1.0,1.667741935483871,PASSENGER AUTO,30,6,fallback,12.995216078381937,77.69672903879511
29,130,POLICE_STATION::HAL Old Airport (Cluster 130),99,5.8,94.4,0.635593220338983,9.125333318976143,road,2,7.0,250.0,3199.999999542857,3106.050940208133,0.02935908104659879,0.49999999999998335,0.012937465648490735,4,0.0,1.0,0.0,1.0,0.9383838383838384,SCOOTER,99,5,fallback,12.933359587937407,77.69106392381397
30,624,POLICE_STATION::Rajajinagar (Cluster 624),38,0.5,504.0,0.11904761904738284,4.199999964728334,road,2,7.0,250.0,3199.999999542857,3112.08421083261,0.027473683976180885,0.49999999999998335,0.012069849659567432,4,0.0,1.0,1.214285714112245,2.214285714112245,1.9078947368421053,CAR,32,8,fallback,13.007111484210526,77.52682525
31,223,POLICE_STATION::HAL Old Airport (Cluster 223),110,4.0,94.4,0.635593220338983,6.293333323431823,road,2,7.0,250.0,3199.999999542857,3112.4988007444867,0.02734412462870095,0.49999999999998335,0.012010422049004288,4,0.0,1.0,0.0,1.0,1.2672727272727273,SCOOTER,110,6,fallback,12.933168245454546,77.69180713818182
32,628,"JUNCTION::BTP062 - Basava Mantapa, Dr. Rajkumar Road (Cluster 628)",26,0.6,481.0,0.12474012473986541,4.809999961449833,road,2,7.0,250.0,3199.999999542857,3112.7222859815743,0.027274285492101202,0.49999999999998335,0.011978397760982001,4,0.0,1.0,0.36363636360330576,1.3636363636033058,1.6538461538461537,CAR,25,4,fallback,12.980365280769231,77.55677844615386
33,172,POLICE_STATION::Rajajinagar (Cluster 172),64,3.8,84.5,0.71005917158923,5.35166665919307,road,2,7.0,250.0,3199.999999542857,3116.513999683298,0.02608937496014352,0.49999999999998335,0.011436156143354389,4,0.0,1.0,13.9999999965,14.9999999965,1.421875,SCOOTER,62,8,fallback,13.018507475,77.53182610625
34,227,POLICE_STATION::HAL Old Airport (Cluster 227),397,2.585714285714286,106.5,0.5633802816848509,4.589642849039337,road,2,7.0,250.0,3199.999999542857,3119.406729940021,0.025185396754788814,0.49999999999998335,0.011023857538061123,4,0.0,1.0,0.611702127653067,1.611702127653067,1.6005037783375313,MAXI-CAB,373,10,fallback,12.964865415365239,77.7177672
35,317,JUNCTION::BTP172 - Nanjappa Circle (Cluster 317),26,5.2,94.4,0.635593220338983,8.18133332046137,road,2,7.0,250.0,3199.999999542857,3121.286582546332,0.024597942815232976,0.49999999999998335,0.010756562451189973,4,0.0,1.0,0.0,1.0,0.8769230769230769,SCOOTER,26,3,fallback,12.96187951923077,77.59874974230769
36,471,POLICE_STATION::Jeevanbheemanagar (Cluster 471),20,2.8,94.4,0.635593220338983,4.405333326402276,road,2,7.0,250.0,3199.999999542857,3121.9425276879697,0.02439295995844193,0.49999999999998335,0.010663412173404435,4,0.0,1.0,0.0,1.0,1.6149999999999998,CAR,20,6,fallback,12.959418765,77.65602405
37,610,POLICE_STATION::Adugodi (Cluster 610),16,2.4,94.4,0.635593220338983,3.7759999940590934,road,2,7.0,250.0,3199.999999542857,3123.616913970571,0.023869714245054352,0.49999999999998335,0.010425910496879137,4,0.0,1.0,0.0,1.0,1.84375,CAR,16,2,fallback,12.92518638125,77.6342952625
38,128,JUNCTION::BTP020 - Hosahalli Metro Station (Cluster 128),369,5.05,94.4,0.635593220338983,7.945333320832676,road,2,7.0,250.0,3199.999999542857,3124.096873830306,0.023719726788865914,0.49999999999998335,0.010357904287957099,4,0.0,1.0,0.0,1.0,0.8707317073170732,SCOOTER,337,5,fallback,12.97445318807588,77.54586688075881
39,491,POLICE_STATION::Rajajinagar (Cluster 491),20,0.7333333333333333,289.0,0.20761245674668646,3.5322222052209074,road,2,7.0,250.0,3199.999999542857,3127.5309103885616,0.02264659036425798,0.49999999999998335,0.009872280179626545,4,0.0,1.0,1.9999999996,2.9999999996,1.8699999999999999,CAR,19,7,fallback,13.02053072,77.537237745
40,27,POLICE_STATION::Malleshwaram (Cluster 27),1394,2.5964285714285715,97.5,0.6153846153783037,4.219196421758509,road,2,7.0,250.0,3199.999999542857,3127.8477455295388,0.022547579382688476,0.49999999999998335,0.009827558752134105,4,0.0,1.0,-0.315046604525619,1.0,1.5586800573888089,CAR,1249,11,fallback,13.006679506671448,77.57050446886657
41,15,JUNCTION::BTP143 - ASC Junction (Cluster 15),616,0.674074074074074,331.875,0.18079096045143264,3.728472201610345,road,2,7.0,250.0,3199.999999542857,3130.405541073017,0.02174826827523757,0.49999999999998335,0.009467041748990367,4,0.0,1.0,-0.32895522387666914,1.0,1.7012987012987013,CAR,567,10,fallback,12.97346894589534,77.61694256760954
42,56,JUNCTION::BTP027 - Modi Bridge Junction (Cluster 56),265,3.2,94.4,0.635593220338983,5.034666658745459,road,2,7.0,250.0,3199.999999542857,3131.630583389636,0.021365442551239622,0.49999999999998335,0.009294699360561204,4,0.0,1.0,17.428571426081632,18.428571426081632,1.2377358490566037,SCOOTER,255,7,fallback,12.999429728679246,77.5503542664151
43,410,POLICE_STATION::K.R. Pura (Cluster 410),41,1.12,228.0,0.2631578947356879,4.255999983845867,road,2,7.0,250.0,3199.999999542857,3132.0083978691337,0.021247375526379786,0.49999999999998335,0.009241589789288542,4,0.0,1.0,0.5624999999648438,1.5624999999648437,1.4560975609756097,CAR,40,7,fallback,13.00546916829268,77.68535350487805
44,708,JUNCTION::BTP130 - GD Mara Junction (Cluster 708),23,4.6,94.4,0.635593220338983,7.237333321946596,road,2,7.0,250.0,3199.999999542857,3132.679313953724,0.021037714249915407,0.49999999999998335,0.009147328026288724,4,0.0,1.0,0.0,1.0,0.8478260869565217,SCOOTER,23,3,fallback,12.907731326086957,77.60075574347826
45,88,POLICE_STATION::Sheshadripuram (Cluster 88),23,4.6,94.4,0.635593220338983,7.237333321946596,road,2,7.0,250.0,3199.999999542857,3133.715016808941,0.02071405710761387,0.49999999999998335,0.00900193838476844,4,0.0,1.0,0.0,1.0,0.8347826086956521,SCOOTER,23,2,fallback,12.99634292173913,77.56319295652175
46,715,POLICE_STATION::Yelahanka (Cluster 715),20,4.0,94.4,0.635593220338983,6.293333323431823,road,2,7.0,250.0,3199.999999542857,3135.095953949231,0.020282514251211747,0.49999999999998335,0.008808318585097173,4,0.0,1.0,0.0,1.0,0.9400000000000001,MOTOR CYCLE,20,4,fallback,13.09409192,77.59441341499999
47,198,POLICE_STATION::Electronic City (Cluster 198),18,3.6,94.4,0.635593220338983,5.663999991088641,road,2,7.0,250.0,3199.999999542857,3136.8221253745933,0.01974308568070915,0.49999999999998335,0.008566667710122915,4,0.0,1.0,0.0,1.0,1.0166666666666666,SCOOTER,18,4,fallback,12.841678855555555,77.64701408333333
48,19,"JUNCTION::BTP001 - 10th Cross, Dr. Rajkumar Road (Cluster 19)",2934,3.9,58.86764705882353,1.019235573302696,3.8263970551343456,road,2,7.0,250.0,3199.999999542857,3137.089963004139,0.019659386421464253,0.49999999999998335,0.008529209652692346,4,0.0,1.0,-0.3681806648045789,1.0,1.4985344239945466,CAR,2620,18,fallback,13.010220852010905,77.55368339362644
49,516,POLICE_STATION::Kamakshipalya (Cluster 516),24,1.8,223.0,0.269058295962919,6.6899999751655,road,2,7.0,250.0,3199.999999542857,3138.528456931471,0.019209857069108938,0.49999999999998335,0.008328201687963442,4,0.0,1.0,0.0,1.0,0.8375,SCOOTER,23,2,fallback,12.986892975000002,77.51944154583333
50,348,POLICE_STATION::HAL Old Airport (Cluster 348),657,3.1142857142857143,82.89583333333333,0.7237999497273832,4.302688486170815,road,2,7.0,250.0,3199.999999542857,3138.6888498001736,0.01915973429763218,0.49999999999998335,0.008305806997667786,4,0.0,1.0,-0.0655021834058275,1.0,1.2987823439878234,SCOOTER,561,16,fallback,12.933367415041863,77.68994128087768
51,281,JUNCTION::BTP069 - MC Circle (Cluster 281),19,2.6,94.4,0.635593220338983,4.090666660230685,road,2,7.0,250.0,3199.999999542857,3139.765701910475,0.01882321801311504,0.49999999999998335,0.00815554503715807,4,0.0,1.0,0.0,1.0,1.3421052631578947,CAR,19,4,fallback,12.974539184210526,77.54783481578947
52,403,POLICE_STATION::Sheshadripuram (Cluster 403),22,3.4,94.4,0.635593220338983,5.349333324917049,road,2,7.0,250.0,3199.999999542857,3140.7766271854234,0.018507303864648605,0.49999999999998335,0.008014628638517119,4,0.0,1.0,0.0,1.0,1.009090909090909,SCOOTER,22,4,fallback,12.996323181818182,77.56306893636363
53,123,JUNCTION::BTP042 - Minsk Square Junction (CTO) (Cluster 123),333,1.76,187.84615384615384,0.3194103194086191,5.510153828932158,road,2,7.0,250.0,3199.999999542857,3141.7605811334624,0.018199818255842604,0.49999999999998335,0.007877607701171475,4,0.0,1.0,0.3450704225303511,1.3450704225303511,0.9633633633633634,SCOOTER,245,7,fallback,12.981368157657657,77.59847802402403
54,127,JUNCTION::BTP042 - Minsk Square Junction (CTO) (Cluster 127),53,1.9,186.0,0.32258064515955603,5.889999981772665,road,2,7.0,250.0,3199.999999542857,3142.5720234566593,0.017946242529807477,0.49999999999998335,0.007764710639273366,4,0.0,1.0,0.0,1.0,0.8886792452830189,SCOOTER,47,5,fallback,12.981131041509434,77.59827861698112
55,630,"JUNCTION::BTP062 - Basava Mantapa, Dr. Rajkumar Road (Cluster 630)",15,3.0,94.4,0.635593220338983,4.719999992573867,road,2,7.0,250.0,3199.999999542857,3142.6911082208253,0.017909028541000294,0.49999999999998335,0.0077481498684013154,4,0.0,1.0,0.0,1.0,1.1066666666666667,SCOOTER,15,4,fallback,12.979638093333334,77.55369470000001
56,763,POLICE_STATION::Byatarayanapura (Cluster 763),31,1.0,161.0,0.3726708074511014,2.683333326149722,road,2,7.0,250.0,3199.999999542857,3144.063999708586,0.017479999951013903,0.49999999999998335,0.007557367165790667,4,0.0,1.0,28.999999970999998,29.999999970999998,1.9,LORRY/GOODS VEHICLE,28,6,fallback,12.95050138064516,77.5216967548387
57,266,POLICE_STATION::Malleshwaram (Cluster 266),71,2.25,94.4,0.635593220338983,3.5399999944304,road,2,7.0,250.0,3199.999999542857,3145.023870872424,0.017180040212271708,0.49999999999998335,0.007424133795455348,4,0.0,1.0,0.0,1.0,1.4154929577464788,CAR,69,6,fallback,13.005618392957746,77.56896849859154
58,81,POLICE_STATION::Jnanabharathi (Cluster 81),37,0.6,266.0,0.22556390977358812,2.6599999882173333,road,2,7.0,250.0,3199.999999542857,3146.9955457387346,0.016563891816461895,0.49999999999998335,0.00715085623131347,4,0.0,1.0,16.999999983,17.999999983,1.8162162162162163,CAR,34,4,fallback,12.960943275675676,77.51165639729729
59,594,JUNCTION::BTP010 - Rajajinagar Entrance (Cluster 594),45,0.8,275.6666666666667,0.21765417170416812,3.6755555386817536,road,2,7.0,250.0,3199.999999542857,3147.5760759889804,0.01638247611323418,0.49999999999998335,0.007070495489323783,4,0.0,1.0,0.0,1.0,1.3,CAR,39,3,fallback,12.984523746666666,77.56007909555555
60,336,POLICE_STATION::Pulikeshinagar(F.Town) (Cluster 336),18,3.6,94.4,0.635593220338983,5.663999991088641,road,2,7.0,250.0,3199.999999542857,3148.90532535213,0.01596708568719063,0.49999999999998335,0.006886666274621118,4,0.0,1.0,0.0,1.0,0.8222222222222223,SCOOTER,18,2,fallback,13.000584722222222,77.62178509444443
61,549,JUNCTION::BTP042 - Minsk Square Junction (CTO) (Cluster 549),118,0.94,289.0,0.20761245674668646,4.527666644874072,road,2,7.0,250.0,3199.999999542857,3149.651469436384,0.015733915660828046,0.49999999999998335,0.006783583952582824,4,0.0,1.0,5.866666666275555,6.866666666275555,1.0135593220338983,SCOOTER,106,7,fallback,12.981389222033899,77.59841596101694
62,637,POLICE_STATION::Shivajinagar (Cluster 637),31,1.55,94.4,0.635593220338983,2.4386666628298315,road,2,7.0,250.0,3199.999999542857,3149.6821024935434,0.01572434283046442,0.49999999999998335,0.006779353520524781,4,0.0,1.0,-0.7599999999696,1.0,1.8806451612903226,CAR,31,3,fallback,12.980089980645161,77.61398331935483
63,473,POLICE_STATION::HAL Old Airport (Cluster 473),337,3.1846153846153844,46.857142857142854,1.2804878048507216,2.487032965143789,road,2,7.0,250.0,3199.999999542857,3150.309776734489,0.01552819463014099,0.49999999999998335,0.006692699822218273,4,0.0,1.0,-0.4325581395308599,1.0,1.82106824925816,CAR,316,11,fallback,12.939359207121663,77.69632467032642
64,73,JUNCTION::BTP042 - Minsk Square Junction (CTO) (Cluster 73),46,3.0,94.4,0.635593220338983,4.719999992573867,road,2,7.0,250.0,3199.999999542857,3150.46638472811,0.015479254632127404,0.49999999999998335,0.00667108766882985,4,0.0,1.0,0.0,1.0,0.9565217391304348,SCOOTER,45,5,fallback,12.981210243478262,77.59849502608695
65,374,POLICE_STATION::Jeevanbheemanagar (Cluster 374),47,1.7,159.75,0.3755868544577428,4.5262499879771925,road,2,7.0,250.0,3199.999999542857,3150.974521267635,0.01532046196350334,0.49999999999998335,0.006600987090785327,4,0.0,1.0,0.0,1.0,0.9872340425531915,SCOOTER,42,4,fallback,12.971629823404255,77.65814534680851
66,74,JUNCTION::BTP051 - Safina Plaza Junction (Cluster 74),314,3.075,69.5,0.8633093525055638,3.561874995925412,road,2,7.0,250.0,3199.999999542857,3151.2509921512233,0.015234064812369552,0.49999999999998335,0.00656286103613021,4,0.0,1.0,2.4249999999393754,3.4249999999393754,1.247452229299363,SCOOTER,309,10,fallback,12.981843999681528,77.60897611878981
67,190,POLICE_STATION::Kamakshipalya (Cluster 190),17,3.4,94.4,0.635593220338983,5.349333324917049,road,2,7.0,250.0,3199.999999542857,3151.3219653476376,0.01521188568848697,0.49999999999998335,0.006553075330905469,4,0.0,1.0,0.0,1.0,0.8294117647058824,SCOOTER,17,2,fallback,12.986934847058823,77.5192972882353
68,746,POLICE_STATION::Basavanagudi (Cluster 746),17,3.4,94.4,0.635593220338983,5.349333324917049,road,2,7.0,250.0,3199.999999542857,3151.3219653476376,0.01521188568848697,0.49999999999998335,0.006553075330905469,4,0.0,1.0,0.0,1.0,0.8294117647058824,SCOOTER,17,2,fallback,12.941350370588236,77.56681632941176
69,286,POLICE_STATION::Chikkajala (Cluster 286),396,0.6465116279069767,220.0,0.2727272727260331,2.3705426269776995,road,2,7.0,250.0,3199.999999542857,3151.339635024735,0.015206363914393228,0.49999999999998335,0.006550639162424217,4,0.0,1.0,-0.47104247103519625,1.0,1.870959595959596,CAR,388,11,fallback,13.191321278434344,77.64629431666667
70,35,JUNCTION::BTP020 - Hosahalli Metro Station (Cluster 35),1650,1.8347826086956522,159.46938775510205,0.3762477604276381,4.876527641609709,road,2,7.0,250.0,3199.999999542857,3151.458663422976,0.015169167539937689,0.49999999999998335,0.006534229490118105,4,0.0,1.0,0.07547169811263796,1.075471698112638,0.9072727272727272,SCOOTER,1168,12,fallback,12.97446412018182,77.5454475259394
71,579,JUNCTION::BTP208 - Havanur Circle (Cluster 579),31,1.7333333333333334,94.4,0.635593220338983,2.7271111068204568,road,2,7.0,250.0,3199.999999542857,3151.5484093410723,0.015141121940528524,0.49999999999998335,0.0065218580817899205,4,0.0,1.0,0.0,1.0,1.6193548387096772,CAR,31,5,fallback,12.987428083870967,77.53744455483871
72,144,POLICE_STATION::Kodigehalli (Cluster 144),61,5.4,45.666666666666664,1.3138686131099155,4.109999996961832,road,2,7.0,250.0,3199.999999542857,3152.6897607154683,0.014784449635978913,0.49999999999998335,0.006364619469659487,4,0.0,1.0,0.0,1.0,1.0491803278688525,SCOOTER,58,3,fallback,13.070965298360655,77.58788824262295
73,417,"JUNCTION::BTP206 - Shankara Mutt Circle, Vijayanagar (Cluster 417)",38,2.466666666666667,94.4,0.635593220338983,3.8808888827829575,road,2,7.0,250.0,3199.999999542857,3152.7150159716143,0.014776557368432197,0.49999999999998335,0.006361142180057097,4,0.0,1.0,-0.099999999995,1.0,1.1105263157894738,SCOOTER,37,6,fallback,12.998684886842106,77.54103849210526
74,486,POLICE_STATION::Jeevanbheemanagar (Cluster 486),67,1.7,150.5,0.398671096342866,4.264166655999047,road,2,7.0,250.0,3199.999999542857,3152.936692211355,0.014707283543503369,0.49999999999998335,0.006330624243335643,4,0.0,1.0,0.0,1.0,1.0059701492537314,SCOOTER,62,3,fallback,12.971669582089552,77.65811406865672
75,7,POLICE_STATION::HAL Old Airport (Cluster 7),344,1.5714285714285714,150.0,0.3999999999973334,3.9285714187761895,road,2,7.0,250.0,3199.999999542857,3153.0388226444134,0.014675367783168025,0.49999999999998335,0.006316566305618351,4,0.0,1.0,-0.9852507374602205,1.0,1.0895348837209302,SCOOTER,300,13,fallback,12.933763406902168,77.69038360325544
76,18,"JUNCTION::BTP016 - 5th Main Road, RPC Layout (Cluster 18)",42,2.2,94.4,0.635593220338983,3.4613333278875027,road,2,7.0,250.0,3199.999999542857,3153.4344703777238,0.014551727866490949,0.49999999999998335,0.006262120030818324,4,0.0,1.0,0.0,1.0,1.2261904761904763,SCOOTER,42,6,fallback,12.965111821428572,77.53824457619048
