st_dbscan_cluster_id,cluster_label,records,severity_sum,severity_mean,unique_vehicles,dominant_vehicle_type,dominant_police_station,dominant_junction_name,latitude_mean,longitude_mean,start_time_ist,end_time_ist
20,BTP082 - KR Market Junction,374,630.0,1.6844919786096257,368,SCOOTER,City Market,BTP082 - KR Market Junction,12.965108344385026,77.57599985347592,2024-03-09 11:19:46+05:30,2024-03-20 10:39:46+05:30
128,BTP020 - Hosahalli Metro Station,369,629.0,1.7046070460704608,337,SCOOTER,Vijayanagara,BTP020 - Hosahalli Metro Station,12.974453188075882,77.54586688075881,2024-01-29 10:27:46+05:30,2024-02-01 10:13:46+05:30
90,POLICE_STATION::R.T. Nagar,358,658.0,1.8379888268156424,342,SCOOTER,R.T. Nagar,No Junction,13.021985926536313,77.59267638240223,2023-12-03 06:00:46+05:30,2023-12-27 06:20:46+05:30
7,POLICE_STATION::HAL Old Airport,344,765.0,2.2238372093023258,300,SCOOTER,HAL Old Airport,No Junction,12.933763406902164,77.69038360325544,2024-03-12 03:14:46+05:30,2024-03-21 09:29:46+05:30
473,POLICE_STATION::HAL Old Airport,337,645.0,1.913946587537092,316,CAR,HAL Old Airport,No Junction,12.93935920712166,77.69632467032642,2023-12-03 10:00:46+05:30,2023-12-18 06:55:46+05:30
165,BTP104 - Medical College Circle,335,646.0,1.9283582089552238,322,SCOOTER,City Market,BTP104 - Medical College Circle,12.959297089850745,77.57687235044776,2024-01-03 12:15:46+05:30,2024-02-02 16:36:46+05:30
123,BTP042 - Minsk Square Junction (CTO),333,509.0,1.5285285285285286,245,SCOOTER,Shivajinagar,BTP042 - Minsk Square Junction (CTO),12.981368157657657,77.59847802402403,2023-11-10 02:41:46+05:30,2023-12-03 04:19:46+05:30
366,"BTP148 - 17th Main, Doopanahalli Bus Stop",328,535.0,1.6310975609756098,312,CAR,Jeevanbheemanagar,No Junction,12.969011838370493,77.64492171694344,2023-11-27 04:47:46+05:30,2023-12-12 10:07:46+05:30
49,BTP074 - Leprosy Hospital Junction,322,523.0,1.624223602484472,303,SCOOTER,Magadi Road,No Junction,12.97569547518514,77.55977060421306,2023-11-10 08:03:46+05:30,2023-12-01 06:43:46+05:30
74,BTP051 - Safina Plaza Junction,314,595.0,1.894904458598726,309,SCOOTER,Shivajinagar,BTP051 - Safina Plaza Junction,12.981843999681528,77.6089761187898,2024-03-05 11:01:46+05:30,2024-03-22 05:48:46+05:30
145,"BTP016 - 5th Main Road, RPC Layout",298,582.0,1.9530201342281879,271,SCOOTER,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",12.965104991610739,77.53820424395973,2024-01-10 07:50:46+05:30,2024-02-02 13:02:46+05:30
55,BTP108 - Tagore Park Junction,298,439.0,1.4731543624161074,279,SCOOTER,Basavanagudi,BTP108 - Tagore Park Junction,12.94463117718121,77.57114230436243,2023-11-10 04:42:46+05:30,2023-12-19 11:18:46+05:30
299,POLICE_STATION::Mahadevapura,292,584.0,2.0,271,PASSENGER AUTO,Mahadevapura,No Junction,12.9961715056367,77.66846079468526,2023-12-13 03:39:46+05:30,2024-01-19 10:40:46+05:30
91,POLICE_STATION::Kodigehalli,278,420.0,1.5107913669064748,263,SCOOTER,Kodigehalli,No Junction,13.071108985251799,77.58809059820145,2023-11-10 05:55:46+05:30,2023-11-28 10:50:46+05:30
151,POLICE_STATION::Hebbala,269,340.0,1.2639405204460967,247,SCOOTER,Hebbala,No Junction,13.035250067286245,77.58898769665429,2024-01-10 03:24:46+05:30,2024-02-04 04:35:46+05:30
342,"BTP070 - Cholurpalya Junction, Magadi Road",266,278.0,1.0451127819548873,243,SCOOTER,Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",12.973605712030075,77.5511454537594,2023-12-23 04:06:46+05:30,2024-01-05 10:00:46+05:30
56,BTP027 - Modi Bridge Junction,265,502.0,1.8943396226415095,255,SCOOTER,Malleshwaram,BTP027 - Modi Bridge Junction,12.999429728679244,77.55035426641508,2024-03-10 10:13:46+05:30,2024-03-19 07:08:46+05:30
550,POLICE_STATION::HAL Old Airport,234,461.0,1.9700854700854702,223,SCOOTER,HAL Old Airport,No Junction,12.963904620512821,77.71733305213675,2023-12-09 06:07:46+05:30,2023-12-14 05:34:46+05:30
639,POLICE_STATION::HAL Old Airport,233,464.0,1.9914163090128756,228,CAR,HAL Old Airport,No Junction,12.939469399820073,77.69590168597882,2023-12-22 07:12:46+05:30,2024-01-06 12:00:46+05:30
232,BTP032 - Windsor Circle,230,407.0,1.7695652173913043,185,SCOOTER,High ground,BTP032 - Windsor Circle,12.992035426956523,77.58888548869565,2024-01-10 06:13:46+05:30,2024-01-25 05:17:46+05:30
4,POLICE_STATION::Pulikeshinagar(F.Town),227,324.0,1.4273127753303965,214,SCOOTER,Pulikeshinagar(F.Town),No Junction,12.99553091585903,77.61257689030838,2023-11-11 02:38:46+05:30,2023-12-10 13:38:46+05:30
365,POLICE_STATION::HAL Old Airport,222,246.0,1.1081081081081081,211,SCOOTER,HAL Old Airport,No Junction,12.934144997700978,77.69071524913757,2023-11-14 02:26:46+05:30,2023-11-18 05:57:46+05:30
76,POLICE_STATION::Electronic City,212,358.0,1.6886792452830188,206,SCOOTER,Electronic City,No Junction,12.84208351556604,77.64555589999999,2023-11-11 12:11:46+05:30,2023-12-03 10:11:46+05:30
717,POLICE_STATION::HAL Old Airport,205,402.0,1.9609756097560975,203,MAXI-CAB,HAL Old Airport,No Junction,12.962452163414634,77.71727016780488,2024-01-01 09:45:46+05:30,2024-01-06 10:30:46+05:30
360,POLICE_STATION::Mahadevapura,205,393.0,1.9170731707317072,194,CAR,Mahadevapura,No Junction,12.996214841951218,77.6685580614634,2023-11-11 09:48:46+05:30,2023-12-03 01:23:46+05:30
67,BTP100 - Richmond Circle,205,226.0,1.102439024390244,178,SCOOTER,Ashok Nagar,BTP100 - Richmond Circle,12.962080470731706,77.59836174439025,2023-11-29 09:14:46+05:30,2023-12-12 04:13:46+05:30
124,POLICE_STATION::Yelahanka,201,332.0,1.6517412935323383,177,SCOOTER,Yelahanka,No Junction,13.096978499502487,77.59961406169154,2023-11-30 02:09:46+05:30,2023-12-28 04:40:46+05:30
83,"BTP001 - 10th Cross, Dr. Rajkumar Road",199,301.0,1.5125628140703518,195,CAR,Malleshwaram,No Junction,13.009942601005024,77.5542728798995,2024-03-08 11:13:46+05:30,2024-03-20 14:34:46+05:30
391,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",192,358.0,1.8645833333333333,173,CAR,Rajajinagar,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",12.992333326641583,77.55323286318433,2023-12-06 08:34:46+05:30,2023-12-24 03:03:46+05:30
34,BTP220 - Puttanna Junction,188,217.0,1.1542553191489362,187,CAR,Jayanagara,BTP220 - Puttanna Junction,12.928646611702131,77.58354133404255,2023-11-10 08:56:46+05:30,2023-12-01 12:53:46+05:30
270,BTP042 - Minsk Square Junction (CTO),183,308.0,1.6830601092896176,123,SCOOTER,Shivajinagar,BTP042 - Minsk Square Junction (CTO),12.981231009289617,77.59848063715847,2024-01-12 03:36:46+05:30,2024-01-21 03:09:46+05:30
454,BTP074 - Leprosy Hospital Junction,176,277.0,1.5738636363636365,167,SCOOTER,Magadi Road,No Junction,12.975744135409672,77.5596741097618,2023-12-17 04:44:46+05:30,2024-01-06 13:15:46+05:30
323,BTP096 - Gali Anjaneya Temple,175,289.0,1.6514285714285715,171,SCOOTER,Byatarayanapura,BTP096 - Gali Anjaneya Temple,12.953190102285713,77.54218438857143,2023-12-12 10:25:46+05:30,2024-01-03 01:33:46+05:30
276,POLICE_STATION::Pulikeshinagar(F.Town),171,199.0,1.1637426900584795,159,SCOOTER,Pulikeshinagar(F.Town),No Junction,12.99590419883041,77.61324382865497,2024-01-05 05:58:46+05:30,2024-01-24 03:38:46+05:30
95,POLICE_STATION::Shivajinagar,167,304.0,1.8203592814371257,149,CAR,Shivajinagar,No Junction,12.989516321556888,77.59926662395209,2023-11-15 06:51:46+05:30,2023-11-25 08:27:46+05:30
484,"BTP070 - Cholurpalya Junction, Magadi Road",165,181.0,1.096969696969697,160,SCOOTER,Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",12.973560944848483,77.55099136000001,2023-11-10 10:56:46+05:30,2023-11-20 06:59:46+05:30
206,"BTP095 - Satellite Bus Stand, Mysore Road",162,278.0,1.7160493827160495,153,SCOOTER,Byatarayanapura,"BTP095 - Satellite Bus Stand, Mysore Road",12.953292750154924,77.54247975876544,2024-01-12 09:53:46+05:30,2024-01-28 10:33:46+05:30
638,POLICE_STATION::HSR Layout,151,221.0,1.4635761589403973,148,MOTOR CYCLE,HSR Layout,No Junction,12.912490950331126,77.63469243708609,2023-12-22 11:36:46+05:30,2024-01-11 13:09:46+05:30
575,POLICE_STATION::R.T. Nagar,149,291.0,1.9530201342281879,94,CAR,R.T. Nagar,No Junction,13.001403861744967,77.5958219590604,2023-12-12 02:06:46+05:30,2023-12-16 11:41:46+05:30
262,POLICE_STATION::Malleshwaram,148,236.0,1.5945945945945945,138,CAR,Malleshwaram,No Junction,13.007132071621623,77.5704680777027,2024-01-09 13:08:46+05:30,2024-01-24 02:29:46+05:30
97,BTP048 - Shanthala Junction,148,210.0,1.4189189189189189,144,PASSENGER AUTO,Chamarajpet,BTP048 - Shanthala Junction,12.976944883783784,77.57076306554055,2023-11-17 00:44:46+05:30,2023-12-03 15:17:46+05:30
80,BTP020 - Hosahalli Metro Station,146,295.0,2.0205479452054793,138,SCOOTER,Vijayanagara,BTP020 - Hosahalli Metro Station,12.974472561643836,77.54625698219178,2024-03-11 11:09:46+05:30,2024-03-20 03:20:46+05:30
10,POLICE_STATION::HAL Old Airport,146,255.0,1.7465753424657535,144,CAR,HAL Old Airport,No Junction,12.938897020651956,77.6974747171149,2023-11-16 01:45:46+05:30,2023-11-24 02:09:46+05:30
221,POLICE_STATION::K.R. Pura,145,281.0,1.9379310344827587,142,CAR,K.R. Pura,No Junction,13.005724898209584,77.68587213684212,2024-01-12 07:36:46+05:30,2024-01-26 02:29:46+05:30
100,POLICE_STATION::Chikkajala,144,225.0,1.5625,144,CAR,Chikkajala,No Junction,13.185167209722222,77.68018128819443,2024-03-10 12:16:46+05:30,2024-03-16 02:41:46+05:30
393,BTP135 - UCO Bank Junction,142,150.0,1.056338028169014,134,SCOOTER,Adugodi,BTP135 - UCO Bank Junction,12.936107884507042,77.61601190704225,2023-12-17 10:02:46+05:30,2024-01-02 11:20:46+05:30
103,BTP104 - Medical College Circle,141,299.0,2.120567375886525,134,SCOOTER,City Market,BTP104 - Medical College Circle,12.9595412070922,77.57740102553191,2023-11-11 02:17:46+05:30,2023-11-28 07:17:46+05:30
646,POLICE_STATION::K.R. Pura,139,254.0,1.8273381294964028,139,CAR,K.R. Pura,No Junction,13.005555866330937,77.68554430352519,2023-12-24 00:48:46+05:30,2024-01-06 08:45:46+05:30
595,BTP061 - Bhashyam Circle,139,185.0,1.330935251798561,125,SCOOTER,Rajajinagar,BTP061 - Bhashyam Circle,12.985420964536376,77.5537002098882,2023-12-12 04:56:46+05:30,2024-01-03 05:43:46+05:30
290,POLICE_STATION::Kodigehalli,135,256.0,1.8962962962962964,124,SCOOTER,Kodigehalli,No Junction,13.071124075555554,77.58794889925926,2024-01-11 03:41:46+05:30,2024-01-21 09:12:46+05:30
563,POLICE_STATION::Malleshwaram,132,233.0,1.7651515151515151,130,CAR,Malleshwaram,No Junction,12.998955842424241,77.57006857424244,2023-12-22 03:54:46+05:30,2024-01-05 06:41:46+05:30
658,"BTP189 - New Diagonal Road, Jayanagar",130,137.0,1.0538461538461539,97,SCOOTER,Jayanagara,"BTP189 - New Diagonal Road, Jayanagar",12.928310980000001,77.58075038615385,2023-12-22 09:48:46+05:30,2023-12-31 13:21:46+05:30
184,"BTP148 - 17th Main, Doopanahalli Bus Stop",130,136.0,1.0461538461538462,123,MAXI-CAB,Jeevanbheemanagar,No Junction,12.95953097923077,77.64660686461539,2024-01-10 08:38:46+05:30,2024-01-19 05:20:46+05:30
9,POLICE_STATION::K.R. Pura,128,199.0,1.5546875,125,SCOOTER,K.R. Pura,No Junction,13.0057245203125,77.68582747421875,2023-11-10 11:52:46+05:30,2023-11-23 00:40:46+05:30
46,BTP091 - Sirsi Circle,124,174.0,1.403225806451613,119,SCOOTER,Magadi Road,No Junction,12.964460171774194,77.55459773548385,2023-11-13 02:25:46+05:30,2023-12-05 12:16:46+05:30
52,BTP010 - Rajajinagar Entrance,123,159.0,1.2926829268292683,120,SCOOTER,Magadi Road,BTP010 - Rajajinagar Entrance,12.980539939009102,77.55731931536583,2023-11-17 13:15:46+05:30,2023-12-05 12:01:46+05:30
347,"BTP148 - 17th Main, Doopanahalli Bus Stop",122,189.0,1.5491803278688525,117,CAR,Jeevanbheemanagar,No Junction,12.970347181732812,77.64493689027049,2024-01-13 07:45:46+05:30,2024-01-22 12:18:46+05:30
632,"BTP148 - 17th Main, Doopanahalli Bus Stop",122,130.0,1.0655737704918034,120,MAXI-CAB,Jeevanbheemanagar,No Junction,12.95958451885246,77.6453094581967,2023-12-17 03:58:46+05:30,2024-01-07 08:08:46+05:30
47,POLICE_STATION::Hulimavu,121,236.0,1.9504132231404958,103,CAR,Hulimavu,No Junction,12.892124729808328,77.63798691754414,2023-11-28 02:21:46+05:30,2023-12-17 02:54:46+05:30
549,BTP042 - Minsk Square Junction (CTO),118,176.0,1.4915254237288136,106,SCOOTER,Shivajinagar,BTP042 - Minsk Square Junction (CTO),12.981389222033899,77.59841596101694,2023-12-07 08:35:46+05:30,2023-12-16 09:00:46+05:30
272,POLICE_STATION::Halasur,118,138.0,1.1694915254237288,98,CAR,Halasur,No Junction,12.973449623039487,77.62197173472177,2024-01-07 07:57:46+05:30,2024-01-20 10:41:46+05:30
110,BTP057 - Anand Rao Junction,117,150.0,1.2820512820512822,113,CAR,Sheshadripuram,No Junction,12.987958257264957,77.57406626324786,2023-11-10 07:47:46+05:30,2023-11-21 05:14:46+05:30
434,POLICE_STATION::Jeevanbheemanagar,116,122.0,1.0517241379310345,112,PASSENGER AUTO,Jeevanbheemanagar,No Junction,12.959644167241379,77.6490072836207,2023-12-04 05:28:46+05:30,2023-12-17 12:10:46+05:30
359,POLICE_STATION::Halasur,116,119.0,1.0258620689655173,115,PASSENGER AUTO,Halasur,No Junction,12.973447327586205,77.61519790258622,2023-11-12 05:02:46+05:30,2023-11-26 08:07:46+05:30
77,POLICE_STATION::HAL Old Airport,114,440.0,3.8596491228070176,111,PASSENGER AUTO,HAL Old Airport,No Junction,12.930072449513844,77.68511057306026,2024-03-12 07:38:46+05:30,2024-03-16 04:14:46+05:30
603,POLICE_STATION::Kodigehalli,114,166.0,1.456140350877193,110,CAR,Kodigehalli,No Junction,13.050160621929823,77.5930767368421,2023-12-20 03:48:46+05:30,2024-01-06 02:27:46+05:30
244,BTP048 - Shanthala Junction,114,148.0,1.2982456140350878,114,PASSENGER AUTO,Chamarajpet,BTP048 - Shanthala Junction,12.977461434210523,77.57079529912282,2024-01-16 00:46:46+05:30,2024-01-24 04:59:46+05:30
357,"BTP163 - 16th Main Road, BTM Layout",114,114.0,1.0,110,SCOOTER,Mico Layout,"BTP163 - 16th Main Road, BTM Layout",12.91371297982456,77.60691099473685,2023-11-14 12:43:46+05:30,2023-11-23 14:03:46+05:30
104,POLICE_STATION::Mahadevapura,113,173.0,1.5309734513274336,111,PASSENGER AUTO,Mahadevapura,No Junction,13.000369847746278,77.67703044627365,2024-03-12 01:14:46+05:30,2024-03-19 02:08:46+05:30
553,BTP048 - Shanthala Junction,113,131.0,1.1592920353982301,111,PASSENGER AUTO,Chamarajpet,BTP048 - Shanthala Junction,12.97705207699115,77.57076004955752,2023-12-06 04:23:46+05:30,2023-12-20 02:11:46+05:30
223,POLICE_STATION::HAL Old Airport,110,205.0,1.8636363636363635,110,SCOOTER,HAL Old Airport,No Junction,12.933168245454546,77.69180713818182,2024-01-23 08:56:46+05:30,2024-01-25 11:29:46+05:30
171,POLICE_STATION::HAL Old Airport,109,169.0,1.5504587155963303,108,CAR,HAL Old Airport,No Junction,12.97197022293578,77.71176844220184,2024-01-10 02:54:46+05:30,2024-01-27 04:19:46+05:30
226,POLICE_STATION::HAL Old Airport,108,192.0,1.7777777777777777,104,SCOOTER,HAL Old Airport,No Junction,12.938402515740744,77.69788902592592,2024-01-10 10:39:46+05:30,2024-01-26 10:53:46+05:30
406,POLICE_STATION::Jnanabharathi,108,184.0,1.7037037037037037,103,CAR,Jnanabharathi,No Junction,12.96096830185185,77.51174831574073,2023-12-09 11:13:46+05:30,2024-01-05 10:49:46+05:30
544,POLICE_STATION::HSR Layout,107,174.0,1.6261682242990654,104,MOTOR CYCLE,HSR Layout,No Junction,12.912439947945618,77.63433801917418,2023-12-06 13:02:46+05:30,2023-12-22 11:30:46+05:30
364,BTP135 - UCO Bank Junction,106,126.0,1.1886792452830188,104,SCOOTER,Adugodi,BTP135 - UCO Bank Junction,12.935766726415093,77.61600658018868,2023-11-12 06:41:46+05:30,2023-11-21 13:39:46+05:30
653,POLICE_STATION::Ashok Nagar,105,109.0,1.0380952380952382,85,SCOOTER,Ashok Nagar,No Junction,12.97015036952381,77.6067255304762,2023-12-26 01:15:46+05:30,2024-01-07 13:35:46+05:30
120,POLICE_STATION::K.R. Pura,103,178.0,1.7281553398058251,99,SCOOTER,K.R. Pura,No Junction,13.005869096116502,77.68609715825244,2023-11-28 00:14:46+05:30,2023-12-11 13:35:46+05:30
690,BTP042 - Minsk Square Junction (CTO),103,153.0,1.4854368932038835,89,SCOOTER,Shivajinagar,BTP042 - Minsk Square Junction (CTO),12.981302880582524,77.59837369708738,2023-12-28 05:14:46+05:30,2024-01-07 12:37:46+05:30
64,"BTP080 - NR Road, SP Road Junction",102,161.0,1.5784313725490196,101,SCOOTER,Halasuru Gate,"BTP080 - NR Road, SP Road Junction",12.96430147647059,77.58299856470587,2024-03-09 06:50:46+05:30,2024-03-18 11:31:46+05:30
241,BTP172 - Nanjappa Circle,102,106.0,1.0392156862745099,94,MOTOR CYCLE,Ashok Nagar,BTP172 - Nanjappa Circle,12.961897985294119,77.59917252647058,2024-01-14 07:36:46+05:30,2024-01-25 03:37:46+05:30
130,POLICE_STATION::HAL Old Airport,99,188.0,1.898989898989899,99,SCOOTER,HAL Old Airport,No Junction,12.933359587937408,77.69106392381399,2024-01-30 02:26:46+05:30,2024-01-31 08:23:46+05:30
96,POLICE_STATION::HAL Old Airport,98,174.0,1.7755102040816326,91,SCOOTER,HAL Old Airport,No Junction,12.933721112840656,77.69087792219547,2023-11-25 09:30:46+05:30,2023-12-02 06:49:46+05:30
234,POLICE_STATION::Bellandur,97,165.0,1.7010309278350515,94,MAXI-CAB,Bellandur,No Junction,12.92758724845361,77.6799350030928,2024-01-17 01:57:46+05:30,2024-01-25 05:06:46+05:30
309,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",92,176.0,1.9130434782608696,76,CAR,Rajajinagar,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",12.993112691304347,77.55364681956523,2024-01-04 03:50:46+05:30,2024-01-13 09:18:46+05:30
209,BTP074 - Leprosy Hospital Junction,92,118.0,1.2826086956521738,92,SCOOTER,Magadi Road,No Junction,12.975713723913044,77.5598548902174,2024-01-18 06:24:46+05:30,2024-01-31 07:43:46+05:30
379,POLICE_STATION::HSR Layout,92,102.0,1.108695652173913,87,SCOOTER,HSR Layout,No Junction,12.911575495652174,77.63809063586957,2023-12-17 09:35:46+05:30,2024-01-06 03:08:46+05:30
560,"BTP189 - New Diagonal Road, Jayanagar",92,99.0,1.076086956521739,88,CAR,Jayanagara,"BTP189 - New Diagonal Road, Jayanagar",12.928390763043481,77.5811768152174,2023-12-07 11:53:46+05:30,2023-12-21 12:37:46+05:30
78,"BTP163 - 16th Main Road, BTM Layout",92,92.0,1.0,84,SCOOTER,Mico Layout,No Junction,12.913656329347823,77.60613122934782,2023-11-25 12:00:46+05:30,2023-12-07 05:06:46+05:30
42,POLICE_STATION::HSR Layout,91,115.0,1.2637362637362637,90,MOTOR CYCLE,HSR Layout,No Junction,12.911701334065935,77.63809812967033,2023-11-26 12:51:46+05:30,2023-12-15 06:35:46+05:30
657,BTP100 - Richmond Circle,90,92.0,1.0222222222222221,87,SCOOTER,Ashok Nagar,BTP100 - Richmond Circle,12.962210283333333,77.59794663444444,2023-12-24 07:34:46+05:30,2023-12-31 10:08:46+05:30
112,POLICE_STATION::K.R. Pura,89,166.0,1.8651685393258426,85,PASSENGER AUTO,K.R. Pura,No Junction,13.008240484269663,77.69504693146067,2024-03-06 12:18:46+05:30,2024-03-21 00:11:46+05:30
279,POLICE_STATION::HAL Old Airport,89,163.0,1.8314606741573034,87,CAR,HAL Old Airport,No Junction,12.942963473252652,77.69740347977452,2024-01-10 05:02:46+05:30,2024-01-20 06:59:46+05:30
381,"BTP095 - Satellite Bus Stand, Mysore Road",89,158.0,1.7752808988764044,86,SCOOTER,Byatarayanapura,"BTP095 - Satellite Bus Stand, Mysore Road",12.953492923259459,77.54273083852891,2023-11-14 13:20:46+05:30,2023-11-24 05:40:46+05:30
545,POLICE_STATION::Ashok Nagar,89,108.0,1.2134831460674158,75,SCOOTER,Ashok Nagar,No Junction,12.97009369452174,77.60662945821072,2023-12-14 07:38:46+05:30,2023-12-22 04:01:46+05:30
