id,st_dbscan_cluster_id,canonical_vehicle_number,canonical_vehicle_type,service_date,created_datetime_ist,created_datetime_ist_naive,prev_created_datetime_ist,gap_minutes,gap_hours,latitude,longitude,junction_name,police_station,severity_score,hotspot_unit
FKID011184,2,FKN00GL10565,MOPED,2024-01-28,2024-01-28 10:23:46+05:30,2024-01-28 10:23:46,2024-01-28 10:10:46,13.0,0.21666666666666667,12.9732708,77.5791263,BTP044 - Sagar Theatre Junction,Upparpet,2,JUNCTION::BTP044 - Sagar Theatre Junction
FKID011186,2,FKN00GL10567,CAR,2024-01-28,2024-01-28 10:22:46+05:30,2024-01-28 10:22:46,2024-01-28 10:07:46,15.0,0.25,12.9735723,77.5799852,BTP038 - Mysore Bank Junction,Upparpet,2,JUNCTION::BTP038 - Mysore Bank Junction
FKID011187,2,FKN00GL10568,CAR,2024-01-28,2024-01-28 10:22:46+05:30,2024-01-28 10:22:46,2024-01-28 10:08:46,14.0,0.23333333333333334,12.9735979,77.5792179,BTP044 - Sagar Theatre Junction,Upparpet,2,JUNCTION::BTP044 - Sagar Theatre Junction
FKID011188,2,FKN00GL10569,CAR,2024-01-28,2024-01-28 10:22:46+05:30,2024-01-28 10:22:46,2024-01-28 10:08:46,14.0,0.23333333333333334,12.9735979,77.5792179,BTP044 - Sagar Theatre Junction,Upparpet,2,JUNCTION::BTP044 - Sagar Theatre Junction
FKID011190,2,FKN00GL10571,CAR,2024-01-28,2024-01-28 10:22:46+05:30,2024-01-28 10:22:46,2024-01-28 10:08:46,14.0,0.23333333333333334,12.9736628,77.5794636,BTP044 - Sagar Theatre Junction,Upparpet,2,JUNCTION::BTP044 - Sagar Theatre Junction
FKID011191,2,FKN00GL10572,MOPED,2024-01-28,2024-01-28 10:22:46+05:30,2024-01-28 10:22:46,2024-01-28 10:08:46,14.0,0.23333333333333334,12.9736689,77.5794766,BTP044 - Sagar Theatre Junction,Upparpet,2,JUNCTION::BTP044 - Sagar Theatre Junction
FKID243630,2,FKN00GL10586,LGV,2024-01-15,2024-01-15 08:23:46+05:30,2024-01-15 08:23:46,2024-01-15 04:03:46,260.0,4.333333333333333,12.9730911,77.5790413,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID257407,2,FKN00GL10586,HGV,2024-01-22,2024-01-22 08:54:46+05:30,2024-01-22 08:54:46,2024-01-22 01:10:46,464.0,7.733333333333333,12.972774,77.578882,BTP044 - Sagar Theatre Junction,Upparpet,3,JUNCTION::BTP044 - Sagar Theatre Junction
FKID143873,2,FKN00GL106139,VAN,2023-12-06,2023-12-06 11:15:46+05:30,2023-12-06 11:15:46,2023-12-06 09:20:46,115.0,1.9166666666666667,12.974733,77.574568,BTP043 - Upparpet Junction,Upparpet,1,JUNCTION::BTP043 - Upparpet Junction
FKID250040,2,FKN00GL106396,SCOOTER,2024-01-16,2024-01-16 08:43:46+05:30,2024-01-16 08:43:46,2024-01-16 07:05:46,98.0,1.6333333333333333,12.9761954,77.5783773,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID179634,2,FKN00GL108925,SCOOTER,2023-12-12,2023-12-12 11:04:46+05:30,2023-12-12 11:04:46,2023-12-12 10:36:46,28.0,0.4666666666666667,12.9735775,77.579524,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID131458,2,FKN00GL109601,CAR,2023-11-16,2023-11-16 01:22:46+05:30,2023-11-16 01:22:46,2023-11-16 01:18:46,4.0,0.06666666666666667,12.9790648,77.5783091,BTP058 - Subbanna Junction,Upparpet,2,JUNCTION::BTP058 - Subbanna Junction
FKID162748,2,FKN00GL10983,MOTOR CYCLE,2023-11-17,2023-11-17 10:19:46+05:30,2023-11-17 10:19:46,2023-11-17 05:28:46,291.0,4.85,12.973465,77.5801318,BTP038 - Mysore Bank Junction,Upparpet,1,JUNCTION::BTP038 - Mysore Bank Junction
FKID270773,2,FKN00GL10983,MOTOR CYCLE,2024-01-27,2024-01-27 04:33:46+05:30,2024-01-27 04:33:46,2024-01-27 02:08:46,145.0,2.4166666666666665,12.9735651,77.5792735,BTP044 - Sagar Theatre Junction,Upparpet,2,JUNCTION::BTP044 - Sagar Theatre Junction
FKID132309,2,FKN00GL109903,MOTOR CYCLE,2023-12-01,2023-12-01 05:49:46+05:30,2023-12-01 05:49:46,2023-12-01 04:28:46,81.0,1.35,12.9796528,77.574994,BTP057 - Anand Rao Junction,Upparpet,1,JUNCTION::BTP057 - Anand Rao Junction
FKID131832,2,FKN00GL109903,MOTOR CYCLE,2023-12-01,2023-12-01 09:14:46+05:30,2023-12-01 09:14:46,2023-12-01 05:49:46,205.0,3.4166666666666665,12.9795698,77.5749684,BTP057 - Anand Rao Junction,Upparpet,1,JUNCTION::BTP057 - Anand Rao Junction
FKID132951,2,FKN00GL110254,CAR,2023-11-18,2023-11-18 02:03:46+05:30,2023-11-18 02:03:46,2023-11-18 01:46:46,17.0,0.2833333333333333,12.9790821,77.5790828,BTP058 - Subbanna Junction,Upparpet,2,JUNCTION::BTP058 - Subbanna Junction
FKID164757,2,FKN00GL110254,CAR,2023-11-18,2023-11-18 06:16:46+05:30,2023-11-18 06:16:46,2023-11-18 02:03:46,253.0,4.216666666666667,12.9789629,77.5796074,BTP058 - Subbanna Junction,Upparpet,2,JUNCTION::BTP058 - Subbanna Junction
FKID211053,2,FKN00GL110270,CAR,2023-12-29,2023-12-29 10:36:46+05:30,2023-12-29 10:36:46,2023-12-29 05:45:46,291.0,4.85,12.9753255,77.5757503,BTP040 - Elite Junction,Upparpet,1,JUNCTION::BTP040 - Elite Junction
FKID162830,2,FKN00GL110817,CAR,2023-11-17,2023-11-17 08:50:46+05:30,2023-11-17 08:50:46,2023-11-17 01:17:46,453.0,7.55,12.9791372,77.5781129,BTP058 - Subbanna Junction,Upparpet,1,JUNCTION::BTP058 - Subbanna Junction
FKID132989,2,FKN00GL110868,CAR,2023-11-17,2023-11-17 07:43:46+05:30,2023-11-17 07:43:46,2023-11-17 06:46:46,57.0,0.95,12.9784937,77.5809032,BTP058 - Subbanna Junction,Upparpet,2,JUNCTION::BTP058 - Subbanna Junction
FKID163435,2,FKN00GL110868,CAR,2023-11-17,2023-11-17 08:55:46+05:30,2023-11-17 08:55:46,2023-11-17 07:43:46,72.0,1.2,12.9779427,77.5805811,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID262649,2,FKN00GL110935,MOTOR CYCLE,2024-01-14,2024-01-14 10:31:46+05:30,2024-01-14 10:31:46,2024-01-14 09:07:46,84.0,1.4,12.9728927,77.5785565,BTP044 - Sagar Theatre Junction,Upparpet,2,JUNCTION::BTP044 - Sagar Theatre Junction
FKID133075,2,FKN00GL110938,SCOOTER,2023-12-02,2023-12-02 11:15:46+05:30,2023-12-02 11:15:46,2023-12-02 09:44:46,91.0,1.5166666666666666,12.9728597,77.578445,BTP044 - Sagar Theatre Junction,City Market,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID135036,2,FKN00GL111268,MAXI-CAB,2023-12-02,2023-12-02 06:15:46+05:30,2023-12-02 06:15:46,2023-12-02 02:01:46,254.0,4.233333333333333,12.978872,77.5732324,BTP057 - Anand Rao Junction,Upparpet,2,JUNCTION::BTP057 - Anand Rao Junction
FKID163066,2,FKN00GL111676,LGV,2023-12-08,2023-12-08 08:12:46+05:30,2023-12-08 08:12:46,2023-12-08 07:52:46,20.0,0.3333333333333333,12.9646714,77.5761941,BTP082 - KR Market Junction,City Market,2,JUNCTION::BTP082 - KR Market Junction
FKID187321,2,FKN00GL111727,MOTOR CYCLE,2023-12-14,2023-12-14 09:20:46+05:30,2023-12-14 09:20:46,2023-12-14 08:37:46,43.0,0.7166666666666667,12.9772505,77.5764932,BTP040 - Elite Junction,Upparpet,1,JUNCTION::BTP040 - Elite Junction
FKID188731,2,FKN00GL111727,MOTOR CYCLE,2023-12-16,2023-12-16 12:13:46+05:30,2023-12-16 12:13:46,2023-12-16 10:34:46,99.0,1.65,12.977136,77.5765897,BTP040 - Elite Junction,Upparpet,1,JUNCTION::BTP040 - Elite Junction
FKID298285,2,FKN00GL111743,CAR,2023-11-18,2023-11-18 04:36:46+05:30,2023-11-18 04:36:46,2023-11-18 03:15:46,81.0,1.35,12.9770493,77.5769054,BTP040 - Elite Junction,Upparpet,2,JUNCTION::BTP040 - Elite Junction
FKID134042,2,FKN00GL111743,CAR,2023-11-18,2023-11-18 12:38:46+05:30,2023-11-18 12:38:46,2023-11-18 04:36:46,482.0,8.033333333333333,12.9770563,77.5768258,BTP040 - Elite Junction,Upparpet,1,JUNCTION::BTP040 - Elite Junction
FKID134497,2,FKN00GL111926,MOTOR CYCLE,2023-11-29,2023-11-29 10:52:46+05:30,2023-11-29 10:52:46,2023-11-29 09:35:46,77.0,1.2833333333333334,12.9777108,77.5754259,BTP045 - Danvanthri Road Junction,Upparpet,1,JUNCTION::BTP045 - Danvanthri Road Junction
FKID290966,2,FKN00GL111928,SCOOTER,2023-11-29,2023-11-29 10:32:46+05:30,2023-11-29 10:32:46,2023-11-29 09:34:46,58.0,0.9666666666666667,12.9777108,77.5754259,BTP045 - Danvanthri Road Junction,Upparpet,1,JUNCTION::BTP045 - Danvanthri Road Junction
FKID136948,2,FKN00GL112069,CAR,2023-12-01,2023-12-01 03:04:46+05:30,2023-12-01 03:04:46,2023-12-01 02:41:46,23.0,0.38333333333333336,12.978649,77.575125,BTP057 - Anand Rao Junction,Upparpet,1,JUNCTION::BTP057 - Anand Rao Junction
FKID134463,2,FKN00GL112069,CAR,2023-12-01,2023-12-01 03:08:46+05:30,2023-12-01 03:08:46,2023-12-01 03:04:46,4.0,0.06666666666666667,12.9797928,77.5749638,BTP057 - Anand Rao Junction,Upparpet,1,JUNCTION::BTP057 - Anand Rao Junction
FKID137430,2,FKN00GL112069,CAR,2023-12-01,2023-12-01 04:03:46+05:30,2023-12-01 04:03:46,2023-12-01 03:08:46,55.0,0.9166666666666666,12.9792947,77.5750327,BTP057 - Anand Rao Junction,Upparpet,1,JUNCTION::BTP057 - Anand Rao Junction
FKID134465,2,FKN00GL112071,PASSENGER AUTO,2023-12-01,2023-12-01 03:10:46+05:30,2023-12-01 03:10:46,2023-12-01 03:04:46,6.0,0.1,12.9789066,77.5750172,BTP057 - Anand Rao Junction,Upparpet,1,JUNCTION::BTP057 - Anand Rao Junction
FKID134781,2,FKN00GL112345,SCOOTER,2023-12-02,2023-12-02 09:35:46+05:30,2023-12-02 09:35:46,2023-12-02 08:47:46,48.0,0.8,12.9641083,77.5839782,"BTP080 - NR Road, SP Road Junction",Halasuru Gate,1,"JUNCTION::BTP080 - NR Road, SP Road Junction"
FKID135068,2,FKN00GL112588,LGV,2023-12-02,2023-12-02 03:18:46+05:30,2023-12-02 03:18:46,2023-12-02 03:02:46,16.0,0.26666666666666666,12.9670026,77.574161,"BTP083 - AS Char Street, Mysore Road",Chamarajpet,2,"JUNCTION::BTP083 - AS Char Street, Mysore Road"
FKID137403,2,FKN00GL112738,CAR,2023-12-02,2023-12-02 02:05:46+05:30,2023-12-02 02:05:46,2023-12-02 00:44:46,81.0,1.35,12.9780816,77.5736591,BTP045 - Danvanthri Road Junction,Upparpet,1,JUNCTION::BTP045 - Danvanthri Road Junction
FKID176503,2,FKN00GL112888,CAR,2023-12-12,2023-12-12 11:11:46+05:30,2023-12-12 11:11:46,2023-12-12 10:30:46,41.0,0.6833333333333333,12.9797348,77.574904,BTP057 - Anand Rao Junction,Upparpet,1,JUNCTION::BTP057 - Anand Rao Junction
FKID253475,2,FKN00GL113012,JEEP,2024-01-19,2024-01-19 09:53:46+05:30,2024-01-19 09:53:46,2024-01-19 02:37:46,436.0,7.266666666666667,12.9789158,77.5791932,BTP058 - Subbanna Junction,Upparpet,1,JUNCTION::BTP058 - Subbanna Junction
FKID135579,2,FKN00GL113019,MAXI-CAB,2023-11-21,2023-11-21 03:03:46+05:30,2023-11-21 03:03:46,2023-11-21 01:27:46,96.0,1.6,12.9731094,77.5809889,BTP038 - Mysore Bank Junction,Upparpet,1,JUNCTION::BTP038 - Mysore Bank Junction
FKID174760,2,FKN00GL113331,SCOOTER,2023-12-11,2023-12-11 10:36:46+05:30,2023-12-11 10:36:46,2023-12-11 10:25:46,11.0,0.18333333333333332,12.9636295,77.5779357,BTP082 - KR Market Junction,City Market,2,JUNCTION::BTP082 - KR Market Junction
FKID278889,2,FKN00GL113753,CAR,2023-12-04,2023-12-04 07:04:46+05:30,2023-12-04 07:04:46,2023-12-04 03:54:46,190.0,3.1666666666666665,12.9756974,77.5782652,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID136549,2,FKN00GL113796,CAR,2023-11-14,2023-11-14 06:17:46+05:30,2023-11-14 06:17:46,2023-11-14 00:54:46,323.0,5.383333333333334,12.9780217,77.5795033,BTP058 - Subbanna Junction,Upparpet,1,JUNCTION::BTP058 - Subbanna Junction
FKID168620,2,FKN00GL114212,MAXI-CAB,2023-11-20,2023-11-20 10:40:46+05:30,2023-11-20 10:40:46,2023-11-20 03:57:46,403.0,6.716666666666667,12.9786376,77.5771311,BTP058 - Subbanna Junction,Upparpet,2,JUNCTION::BTP058 - Subbanna Junction
FKID137213,2,FKN00GL114345,CAR,2023-12-01,2023-12-01 12:37:46+05:30,2023-12-01 12:37:46,2023-12-01 11:22:46,75.0,1.25,12.9765588,77.5775561,BTP040 - Elite Junction,Upparpet,2,JUNCTION::BTP040 - Elite Junction
FKID297880,2,FKN00GL114510,CAR,2023-11-29,2023-11-29 01:33:46+05:30,2023-11-29 01:33:46,2023-11-29 01:08:46,25.0,0.4166666666666667,12.9791316,77.5789316,BTP058 - Subbanna Junction,Upparpet,1,JUNCTION::BTP058 - Subbanna Junction
FKID157763,2,FKN00GL11456,SCOOTER,2023-11-23,2023-11-23 07:25:46+05:30,2023-11-23 07:25:46,2023-11-23 06:14:46,71.0,1.1833333333333333,12.9771592,77.5764517,BTP040 - Elite Junction,Upparpet,1,JUNCTION::BTP040 - Elite Junction
FKID188616,2,FKN00GL11463,SCOOTER,2023-12-16,2023-12-16 10:35:46+05:30,2023-12-16 10:35:46,2023-12-16 06:30:46,245.0,4.083333333333333,12.97728,77.5764614,BTP040 - Elite Junction,Upparpet,1,JUNCTION::BTP040 - Elite Junction
FKID137703,2,FKN00GL114748,SCOOTER,2023-11-22,2023-11-22 10:29:46+05:30,2023-11-22 10:29:46,2023-11-22 10:13:46,16.0,0.26666666666666666,12.9641549,77.5839752,"BTP080 - NR Road, SP Road Junction",Halasuru Gate,1,"JUNCTION::BTP080 - NR Road, SP Road Junction"
FKID140121,2,FKN00GL114906,SCOOTER,2023-12-04,2023-12-04 09:32:46+05:30,2023-12-04 09:32:46,2023-12-04 09:29:46,3.0,0.05,12.9643195,77.5761258,BTP082 - KR Market Junction,City Market,2,JUNCTION::BTP082 - KR Market Junction
FKID137979,2,FKN00GL114954,CAR,2023-12-04,2023-12-04 09:48:46+05:30,2023-12-04 09:48:46,2023-12-04 09:44:46,4.0,0.06666666666666667,12.9779699,77.5754378,BTP045 - Danvanthri Road Junction,Upparpet,1,JUNCTION::BTP045 - Danvanthri Road Junction
FKID184029,2,FKN00GL115049,PASSENGER AUTO,2023-12-14,2023-12-14 11:42:46+05:30,2023-12-14 11:42:46,2023-12-14 09:57:46,105.0,1.75,12.969264,77.5753652,No Junction,City Market,2,POLICE_STATION::City Market
FKID140600,2,FKN00GL115202,CAR,2023-12-03,2023-12-03 11:26:46+05:30,2023-12-03 11:26:46,2023-12-03 10:51:46,35.0,0.5833333333333334,12.9654677,77.5848249,BTP079 - Town Hall Junction,Halasuru Gate,1,JUNCTION::BTP079 - Town Hall Junction
FKID140581,2,FKN00GL115207,SCOOTER,2023-12-03,2023-12-03 11:32:46+05:30,2023-12-03 11:32:46,2023-12-03 10:57:46,35.0,0.5833333333333334,12.967387,77.5742689,"BTP083 - AS Char Street, Mysore Road",Chamarajpet,1,"JUNCTION::BTP083 - AS Char Street, Mysore Road"
FKID138529,2,FKN00GL115275,CAR,2023-12-03,2023-12-03 09:56:46+05:30,2023-12-03 09:56:46,2023-12-03 08:36:46,80.0,1.3333333333333333,12.9643517,77.5761808,BTP082 - KR Market Junction,City Market,2,JUNCTION::BTP082 - KR Market Junction
FKID141528,2,FKN00GL115689,MINI LORRY,2023-12-05,2023-12-05 08:03:46+05:30,2023-12-05 08:03:46,2023-12-05 02:52:46,311.0,5.183333333333334,12.9785452,77.5733158,BTP057 - Anand Rao Junction,Upparpet,2,JUNCTION::BTP057 - Anand Rao Junction
FKID147823,2,FKN00GL115695,MAXI-CAB,2023-12-05,2023-12-05 05:56:46+05:30,2023-12-05 05:56:46,2023-12-05 02:52:46,184.0,3.066666666666667,12.9759737,77.5747547,BTP045 - Danvanthri Road Junction,Upparpet,2,JUNCTION::BTP045 - Danvanthri Road Junction
FKID148867,2,FKN00GL11577,SCOOTER,2023-11-12,2023-11-12 10:27:46+05:30,2023-11-12 10:27:46,2023-11-12 09:31:46,56.0,0.9333333333333333,12.9725404,77.5793044,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID012238,2,FKN00GL11577,SCOOTER,2024-01-25,2024-01-25 06:51:46+05:30,2024-01-25 06:51:46,2024-01-25 02:46:46,245.0,4.083333333333333,12.9728577,77.5790037,BTP044 - Sagar Theatre Junction,Upparpet,3,JUNCTION::BTP044 - Sagar Theatre Junction
FKID284267,2,FKN00GL115818,PASSENGER AUTO,2023-12-23,2023-12-23 04:33:46+05:30,2023-12-23 04:33:46,2023-12-23 04:19:46,14.0,0.23333333333333334,12.9770407,77.576116,BTP040 - Elite Junction,Upparpet,2,JUNCTION::BTP040 - Elite Junction
FKID139035,2,FKN00GL115846,PASSENGER AUTO,2023-12-03,2023-12-03 01:29:46+05:30,2023-12-03 01:29:46,2023-12-03 01:08:46,21.0,0.35,12.9644144,77.5784161,BTP082 - KR Market Junction,City Market,2,JUNCTION::BTP082 - KR Market Junction
FKID183629,2,FKN00GL11590,MOTOR CYCLE,2023-12-14,2023-12-14 10:40:46+05:30,2023-12-14 10:40:46,2023-12-14 09:28:46,72.0,1.2,12.9775701,77.5764792,BTP040 - Elite Junction,Upparpet,1,JUNCTION::BTP040 - Elite Junction
FKID139515,2,FKN00GL116226,MOTOR CYCLE,2023-12-01,2023-12-01 10:31:46+05:30,2023-12-01 10:31:46,2023-12-01 10:26:46,5.0,0.08333333333333333,12.9771894,77.5764588,BTP040 - Elite Junction,Upparpet,1,JUNCTION::BTP040 - Elite Junction
FKID161796,2,FKN00GL116385,SCOOTER,2023-11-12,2023-11-12 10:45:46+05:30,2023-11-12 10:45:46,2023-11-12 10:25:46,20.0,0.3333333333333333,12.9723442,77.5796888,BTP038 - Mysore Bank Junction,Upparpet,1,JUNCTION::BTP038 - Mysore Bank Junction
FKID294089,2,FKN00GL116599,PRIVATE BUS,2023-11-18,2023-11-18 11:36:46+05:30,2023-11-18 11:36:46,2023-11-18 02:06:46,570.0,9.5,12.9775233,77.5805852,BTP044 - Sagar Theatre Junction,Upparpet,2,JUNCTION::BTP044 - Sagar Theatre Junction
FKID150701,2,FKN00GL116836,CAR,2023-11-13,2023-11-13 09:20:46+05:30,2023-11-13 09:20:46,2023-11-13 02:30:46,410.0,6.833333333333333,12.9769955,77.5793935,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID167615,2,FKN00GL117300,CAR,2023-11-20,2023-11-20 10:35:46+05:30,2023-11-20 10:35:46,2023-11-20 06:53:46,222.0,3.7,12.9753056,77.5757272,BTP040 - Elite Junction,Upparpet,1,JUNCTION::BTP040 - Elite Junction
FKID201354,2,FKN00GL1175,CAR,2023-12-25,2023-12-25 11:42:46+05:30,2023-12-25 11:42:46,2023-12-25 11:27:46,15.0,0.25,12.9789679,77.5807972,BTP058 - Subbanna Junction,Upparpet,1,JUNCTION::BTP058 - Subbanna Junction
FKID141224,2,FKN00GL117673,PASSENGER AUTO,2023-12-06,2023-12-06 00:51:46+05:30,2023-12-06 00:51:46,2023-12-06 00:42:46,9.0,0.15,12.98027,77.5715383,BTP057 - Anand Rao Junction,Sheshadripuram,2,JUNCTION::BTP057 - Anand Rao Junction
