zone_name,zone_hotspots,zone_priority_total,zone_priority_mean,zone_priority_max,zone_ccs_mean,zone_ccs_max,zone_escalation_mean,zone_tow_count,zone_patrol_units,zone_critical_count,zone_high_count,zone_top_label,zone_rank
BTP096 - Gali Anjaneya Temple (Cluster 323),1,24.89810520885971,24.89810520885971,24.89810520885971,18.172176093970133,18.172176093970133,0.9891905387242635,0,1,0,0,BTP096 - Gali Anjaneya Temple (Cluster 323),15
"BTP115 - Sahasra Hospital, Jayanagar (Cluster 488)",1,24.835633414461228,24.835633414461228,24.835633414461228,13.84439964294434,13.84439964294434,0.9891905387242635,0,0,0,0,"BTP115 - Sahasra Hospital, Jayanagar (Cluster 488)",16
BTP192 - Urvashi Theater (Cluster 572),1,24.687724403845827,24.687724403845827,24.687724403845827,14.173104401507132,14.173104401507132,0.8389355738957723,0,0,0,0,BTP192 - Urvashi Theater (Cluster 572),17
POLICE_STATION::R.T. Nagar (Cluster 90),1,24.61180712954442,24.61180712954442,24.61180712954442,12.386364223449284,12.386364223449284,0.8667204777399699,0,0,0,0,POLICE_STATION::R.T. Nagar (Cluster 90),18
BTP063 - Siddalingaiah Circle (Cluster 294),1,24.50738550097554,24.50738550097554,24.50738550097554,15.326955811382348,15.326955811382348,0.9891905387242635,0,0,0,0,BTP063 - Siddalingaiah Circle (Cluster 294),19
BTP057 - Anand Rao Junction (Cluster 110),1,24.384816029941575,24.384816029941575,24.384816029941575,14.656021499633791,14.656021499633791,0.8562091588973999,0,0,0,0,BTP057 - Anand Rao Junction (Cluster 110),20
"BTP148 - 17th Main, Doopanahalli Bus Stop (Cluster 366)",1,24.19062495792739,24.19062495792739,24.19062495792739,18.153529712198345,18.153529712198345,0.9441062808036804,0,0,0,0,"BTP148 - 17th Main, Doopanahalli Bus Stop (Cluster 366)",21
POLICE_STATION::HSR Layout (Cluster 638),1,24.053764212523188,24.053764212523188,24.053764212523188,12.152031546309466,12.152031546309466,0.8389355738957723,0,0,0,0,POLICE_STATION::HSR Layout (Cluster 638),22
"BTP070 - Cholurpalya Junction, Magadi Road (Cluster 484)",1,23.951911179966938,23.951911179966938,23.951911179966938,15.603032033109484,15.603032033109484,0.8583850860595703,0,0,0,0,"BTP070 - Cholurpalya Junction, Magadi Road (Cluster 484)",23
POLICE_STATION::Jeevanbheemanagar (Cluster 678),1,23.941795398164924,23.941795398164924,23.941795398164924,15.942267804906573,15.942267804906573,0.8562091588973999,0,0,0,0,POLICE_STATION::Jeevanbheemanagar (Cluster 678),24
"BTP080 - NR Road, SP Road Junction (Cluster 64)",1,23.918911126181786,23.918911126181786,23.918911126181786,18.443400925362717,18.443400925362717,0.8582420746485392,0,0,0,0,"BTP080 - NR Road, SP Road Junction (Cluster 64)",25
BTP048 - Shanthala Junction (Cluster 553),1,23.91392612653329,23.91392612653329,23.91392612653329,16.199180917100747,16.199180917100747,0.8562091588973999,0,0,0,0,BTP048 - Shanthala Junction (Cluster 553),26
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road (Cluster 21)",1,23.813383655304023,23.813383655304023,23.813383655304023,17.935188200854164,17.935188200854164,0.8562091588973999,0,0,0,0,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road (Cluster 21)",27
BTP100 - Richmond Circle (Cluster 67),1,23.708433873587058,23.708433873587058,23.708433873587058,13.3301994053653,13.3301994053653,0.8562091588973999,0,0,0,0,BTP100 - Richmond Circle (Cluster 67),28
POLICE_STATION::Yeshwanthpura (Cluster 101),1,23.541399150461896,23.541399150461896,23.541399150461896,16.79838194174396,16.79838194174396,0.8448196252187093,0,0,0,0,POLICE_STATION::Yeshwanthpura (Cluster 101),29
BTP061 - Bhashyam Circle (Cluster 65),1,23.536375997606036,23.536375997606036,23.536375997606036,16.37987647110391,16.37987647110391,0.8562091588973999,0,0,0,0,BTP061 - Bhashyam Circle (Cluster 65),30
BTP208 - Havanur Circle (Cluster 218),1,23.525714696169274,23.525714696169274,23.525714696169274,17.700248855477682,17.700248855477682,0.9054337739944458,0,0,0,0,BTP208 - Havanur Circle (Cluster 218),31
POLICE_STATION::Yeshwanthpura (Cluster 617),1,23.40095769024112,23.40095769024112,23.40095769024112,16.416654007369935,16.416654007369935,0.8562091588973999,0,0,0,0,POLICE_STATION::Yeshwanthpura (Cluster 617),32
BTP136 - Hosur-Tavarkere Road Junction (Cluster 407),1,23.28209444818329,23.28209444818329,23.28209444818329,16.280599817648636,16.280599817648636,0.8423790534337362,0,0,0,0,BTP136 - Hosur-Tavarkere Road Junction (Cluster 407),33
POLICE_STATION::Pulikeshinagar(F.Town) (Cluster 276),1,23.265905203305813,23.265905203305813,23.265905203305813,16.510520777121293,16.510520777121293,0.8482961654663086,0,0,0,0,POLICE_STATION::Pulikeshinagar(F.Town) (Cluster 276),34
BTP140 - Madiwala Check Post (Cluster 354),1,23.08996634243483,23.08996634243483,23.08996634243483,4.791204099805894,4.791204099805894,0.9455957810084024,0,0,0,0,BTP140 - Madiwala Check Post (Cluster 354),35
BTP140 - Madiwala Check Post (Cluster 442),1,23.00721214919967,23.00721214919967,23.00721214919967,11.548527708991603,11.548527708991603,0.8562091588973999,0,0,0,0,BTP140 - Madiwala Check Post (Cluster 442),36
POLICE_STATION::Chikkajala (Cluster 286),1,22.997142631179273,22.997142631179273,22.997142631179273,15.869639968872074,15.869639968872074,0.9891905387242635,0,0,0,0,POLICE_STATION::Chikkajala (Cluster 286),37
POLICE_STATION::Jnanabharathi (Cluster 446),1,22.975656935922757,22.975656935922757,22.975656935922757,7.176271983109581,7.176271983109581,0.971916953722636,0,0,0,0,POLICE_STATION::Jnanabharathi (Cluster 446),38
POLICE_STATION::Banaswadi (Cluster 429),1,22.97501759019748,22.97501759019748,22.97501759019748,14.682908361577883,14.682908361577883,0.9891905387242635,0,0,0,0,POLICE_STATION::Banaswadi (Cluster 429),39
BTP047 - Vidhan Soudha Metro Station (Cluster 523),1,22.9018278560043,22.9018278560043,22.9018278560043,13.78309844435762,13.78309844435762,0.8562091588973999,0,0,0,0,BTP047 - Vidhan Soudha Metro Station (Cluster 523),40
POLICE_STATION::Hebbala (Cluster 29),1,22.836398377128333,22.836398377128333,22.836398377128333,10.84471444520005,10.84471444520005,0.9284411867459617,0,0,0,0,POLICE_STATION::Hebbala (Cluster 29),41
POLICE_STATION::Magadi Road (Cluster 601),1,22.834317266855773,22.834317266855773,22.834317266855773,13.064896104688106,13.064896104688106,0.8389355738957723,0,0,0,0,POLICE_STATION::Magadi Road (Cluster 601),42
BTP061 - Bhashyam Circle (Cluster 132),1,22.754923704275594,22.754923704275594,22.754923704275594,63.39335561754933,63.39335561754933,0.0,0,0,0,1,BTP061 - Bhashyam Circle (Cluster 132),43
"BTP062 - Basava Mantapa, Dr. Rajkumar Road (Cluster 182)",1,22.730027132323936,22.730027132323936,22.730027132323936,12.095289742659068,12.095289742659068,0.92222398519516,0,0,0,0,"BTP062 - Basava Mantapa, Dr. Rajkumar Road (Cluster 182)",44
POLICE_STATION::Sadashivanagar (Cluster 277),1,22.453275550173608,22.453275550173608,22.453275550173608,55.74145151749735,55.74145151749735,0.0,0,0,0,0,POLICE_STATION::Sadashivanagar (Cluster 277),45
BTP008 - Navarang Theatre (Cluster 247),1,22.425917315773418,22.425917315773418,22.425917315773418,17.92108562995205,17.92108562995205,0.8389355738957723,0,0,0,0,BTP008 - Navarang Theatre (Cluster 247),46
BTP074 - Leprosy Hospital Junction (Cluster 209),1,22.367024732051398,22.367024732051398,22.367024732051398,16.65507720002237,16.65507720002237,0.8562091588973999,0,0,0,0,BTP074 - Leprosy Hospital Junction (Cluster 209),47
"BTP163 - 16th Main Road, BTM Layout (Cluster 78)",1,22.361480836536042,22.361480836536042,22.361480836536042,17.642122399606315,17.642122399606315,0.8574397762616476,0,0,0,0,"BTP163 - 16th Main Road, BTM Layout (Cluster 78)",48
BTP135 - UCO Bank Junction (Cluster 119),1,22.35485026045892,22.35485026045892,22.35485026045892,17.590703516711734,17.590703516711734,0.8562091588973999,0,0,0,0,BTP135 - UCO Bank Junction (Cluster 119),49
BTP010 - Rajajinagar Entrance (Cluster 52),1,22.312343874449233,22.312343874449233,22.312343874449233,17.099813796472006,17.099813796472006,0.8400100072224935,0,0,0,0,BTP010 - Rajajinagar Entrance (Cluster 52),50
POLICE_STATION::Yelahanka (Cluster 124),1,22.3072569606784,22.3072569606784,22.3072569606784,12.45063290768209,12.45063290768209,0.9767205913861592,0,0,0,0,POLICE_STATION::Yelahanka (Cluster 124),51
POLICE_STATION::HSR Layout (Cluster 42),1,22.26755431423889,22.26755431423889,22.26755431423889,16.731382459551902,16.731382459551902,0.8389355738957723,0,0,0,0,POLICE_STATION::HSR Layout (Cluster 42),52
POLICE_STATION::K.R. Pura (Cluster 9),1,22.13345342367317,22.13345342367317,22.13345342367317,8.738491861714799,8.738491861714799,0.8562091588973999,0,0,0,0,POLICE_STATION::K.R. Pura (Cluster 9),53
BTP042 - Minsk Square Junction (CTO) (Cluster 270),1,22.02371810407197,22.02371810407197,22.02371810407197,61.011920814169045,61.011920814169045,0.0,0,0,0,1,BTP042 - Minsk Square Junction (CTO) (Cluster 270),54
POLICE_STATION::Jnanabharathi (Cluster 249),1,21.92826996938415,21.92826996938415,21.92826996938415,7.830203439266441,7.830203439266441,0.9040739138921102,0,0,0,0,POLICE_STATION::Jnanabharathi (Cluster 249),55
BTP054 - Shivananda Circle (Cluster 444),1,21.863510713833662,21.863510713833662,21.863510713833662,15.863877797164289,15.863877797164289,0.8562091588973999,0,0,0,0,BTP054 - Shivananda Circle (Cluster 444),56
POLICE_STATION::Halasur (Cluster 61),1,21.787505375581755,21.787505375581755,21.787505375581755,15.046851627051645,15.046851627051645,0.8562091588973999,0,0,0,0,POLICE_STATION::Halasur (Cluster 61),57
POLICE_STATION::Halasur (Cluster 634),1,21.756820403512087,21.756820403512087,21.756820403512087,7.486075249036636,7.486075249036636,0.8560822010040283,0,0,0,0,POLICE_STATION::Halasur (Cluster 634),58
BTP104 - Medical College Circle (Cluster 63),1,21.69407281803415,21.69407281803415,21.69407281803415,15.26067695617676,15.26067695617676,0.8562091588973999,0,0,0,0,BTP104 - Medical College Circle (Cluster 63),59
POLICE_STATION::HSR Layout (Cluster 379),1,21.688841955267748,21.688841955267748,21.688841955267748,12.977352750252416,12.977352750252416,0.8562091588973999,0,0,0,0,POLICE_STATION::HSR Layout (Cluster 379),60
BTP135 - UCO Bank Junction (Cluster 393),1,21.62591608535766,21.62591608535766,21.62591608535766,14.938234814615164,14.938234814615164,0.8389355738957723,0,0,0,0,BTP135 - UCO Bank Junction (Cluster 393),61
POLICE_STATION::Jeevanbheemanagar (Cluster 464),1,21.620243056142606,21.620243056142606,21.620243056142606,16.296283945456253,16.296283945456253,0.8389355738957723,0,0,0,0,POLICE_STATION::Jeevanbheemanagar (Cluster 464),62
POLICE_STATION::K.R. Pura (Cluster 112),1,21.584294663368958,21.584294663368958,21.584294663368958,12.972542619607182,12.972542619607182,0.8562091588973999,0,0,0,0,POLICE_STATION::K.R. Pura (Cluster 112),63
BTP032 - Windsor Circle (Cluster 660),1,21.5746154249783,21.5746154249783,21.5746154249783,14.343910710477648,14.343910710477648,0.8562091588973999,0,0,0,0,BTP032 - Windsor Circle (Cluster 660),64
BTP135 - UCO Bank Junction (Cluster 364),1,21.553130309302897,21.553130309302897,21.553130309302897,12.516939803531264,12.516939803531264,0.7833800117174784,0,0,0,0,BTP135 - UCO Bank Junction (Cluster 364),65
BTP018 - Dhobi Ghat Junction (Cluster 758),1,21.511291925759448,21.511291925759448,21.511291925759448,13.469381825589952,13.469381825589952,0.8562091588973999,0,0,0,0,BTP018 - Dhobi Ghat Junction (Cluster 758),66
POLICE_STATION::Mahadevapura (Cluster 456),1,21.509341909076944,21.509341909076944,21.509341909076944,13.62263642966848,13.62263642966848,0.8562091588973999,0,0,0,0,POLICE_STATION::Mahadevapura (Cluster 456),67
POLICE_STATION::Malleshwaram (Cluster 94),1,21.392000002747412,21.392000002747412,21.392000002747412,13.552858852715678,13.552858852715678,0.8389355738957723,0,0,0,0,POLICE_STATION::Malleshwaram (Cluster 94),68
BTP104 - Medical College Circle (Cluster 165),1,21.320230734797647,21.320230734797647,21.320230734797647,11.856941919283438,11.856941919283438,0.8008955121040344,0,0,0,0,BTP104 - Medical College Circle (Cluster 165),69
POLICE_STATION::Byatarayanapura (Cluster 285),1,21.294610024456876,21.294610024456876,21.294610024456876,13.20999929194342,13.20999929194342,0.8389355738957723,0,0,0,0,POLICE_STATION::Byatarayanapura (Cluster 285),70
POLICE_STATION::Mahadevapura (Cluster 413),1,21.28761782802706,21.28761782802706,21.28761782802706,11.848136019059172,11.848136019059172,0.8428571422894796,0,0,0,0,POLICE_STATION::Mahadevapura (Cluster 413),71
POLICE_STATION::Jeevanbheemanagar (Cluster 526),1,21.152567915432268,21.152567915432268,21.152567915432268,12.448112457955483,12.448112457955483,0.8562091588973999,0,0,0,0,POLICE_STATION::Jeevanbheemanagar (Cluster 526),72
BTP076 - Hudson Circle (Cluster 389),1,21.090410773303944,21.090410773303944,21.090410773303944,12.785832345285025,12.785832345285025,0.842361311117808,0,0,0,0,BTP076 - Hudson Circle (Cluster 389),73
BTP044 - Sagar Theatre Junction (Cluster 37),1,21.033142458086708,21.033142458086708,21.033142458086708,14.789091583438651,14.789091583438651,0.8389355738957723,0,0,0,0,BTP044 - Sagar Theatre Junction (Cluster 37),74
POLICE_STATION::Rajajinagar (Cluster 624),1,20.996059965857878,20.996059965857878,20.996059965857878,11.901950678244338,11.901950678244338,0.8562091588973999,0,0,0,0,POLICE_STATION::Rajajinagar (Cluster 624),75
POLICE_STATION::K.R. Pura (Cluster 120),1,20.993529364980994,20.993529364980994,20.993529364980994,19.06802535289254,19.06802535289254,0.6960784395535787,0,0,0,0,POLICE_STATION::K.R. Pura (Cluster 120),76
POLICE_STATION::Yelahanka (Cluster 387),1,20.88529734248082,20.88529734248082,20.88529734248082,5.373788704904809,5.373788704904809,0.7973137895266215,0,0,0,0,POLICE_STATION::Yelahanka (Cluster 387),77
BTP091 - Sirsi Circle (Cluster 46),1,20.867857147278613,20.867857147278613,20.867857147278613,13.851232412121504,13.851232412121504,0.7333971261978149,0,0,0,0,BTP091 - Sirsi Circle (Cluster 46),78
POLICE_STATION::HSR Layout (Cluster 316),1,20.847265916291917,20.847265916291917,20.847265916291917,45.52091564313928,45.52091564313928,0.1306493630011876,0,0,0,0,POLICE_STATION::HSR Layout (Cluster 316),79
"BTP001 - 10th Cross, Dr. Rajkumar Road (Cluster 83)",1,20.82344989015846,20.82344989015846,20.82344989015846,13.16480420133784,13.16480420133784,0.8044424653053284,0,0,0,0,"BTP001 - 10th Cross, Dr. Rajkumar Road (Cluster 83)",80
POLICE_STATION::Thalagattapura (Cluster 452),1,20.796157796625522,20.796157796625522,20.796157796625522,10.97286208571504,10.97286208571504,0.8562091588973999,0,0,0,0,POLICE_STATION::Thalagattapura (Cluster 452),81
POLICE_STATION::Pulikeshinagar(F.Town) (Cluster 4),1,20.795680623306094,20.795680623306094,20.795680623306094,10.620753812352753,10.620753812352753,0.9114450216293336,0,0,0,0,POLICE_STATION::Pulikeshinagar(F.Town) (Cluster 4),82
POLICE_STATION::Malleshwaram (Cluster 262),1,20.754058031368185,20.754058031368185,20.754058031368185,16.518731871228855,16.518731871228855,0.7198879718780518,0,0,0,0,POLICE_STATION::Malleshwaram (Cluster 262),83
POLICE_STATION::Kodigehalli (Cluster 603),1,20.631896014122315,20.631896014122315,20.631896014122315,11.000866020254616,11.000866020254616,0.8601307272911072,0,0,0,0,POLICE_STATION::Kodigehalli (Cluster 603),84
POLICE_STATION::Sadashivanagar (Cluster 162),1,20.304374099423104,20.304374099423104,20.304374099423104,53.23351891729702,53.23351891729702,0.0,0,0,0,0,POLICE_STATION::Sadashivanagar (Cluster 162),85
BTP143 - ASC Junction (Cluster 15),1,20.161970279876304,20.161970279876304,20.161970279876304,9.183652849188777,9.183652849188777,0.8226686517397562,0,0,0,0,BTP143 - ASC Junction (Cluster 15),86
BTP054 - Shivananda Circle (Cluster 28),1,19.99025095774376,19.99025095774376,19.99025095774376,6.807444767089294,6.807444767089294,0.8562091588973999,0,0,0,0,BTP054 - Shivananda Circle (Cluster 28),87
BTP023 - Mahalaxmi Layout Entrance (Cluster 219),1,19.774904003414512,19.774904003414512,19.774904003414512,58.140787747164026,58.140787747164026,0.0,0,0,0,0,BTP023 - Mahalaxmi Layout Entrance (Cluster 219),88
POLICE_STATION::Chikkajala (Cluster 13),1,19.765955773839845,19.765955773839845,19.765955773839845,15.710931130937192,15.710931130937192,0.7198879718780518,0,0,0,0,POLICE_STATION::Chikkajala (Cluster 13),89
BTP104 - Medical College Circle (Cluster 103),1,19.60298507911162,19.60298507911162,19.60298507911162,17.26016111504359,17.26016111504359,0.7198879718780518,0,0,0,0,BTP104 - Medical College Circle (Cluster 103),90
BTP042 - Minsk Square Junction (CTO) (Cluster 549),1,19.562536356990538,19.562536356990538,19.562536356990538,52.52317157832805,52.52317157832805,0.0,0,0,0,0,BTP042 - Minsk Square Junction (CTO) (Cluster 549),91
POLICE_STATION::HAL Old Airport (Cluster 664),1,19.45109634495717,19.45109634495717,19.45109634495717,44.67669598901643,44.67669598901643,0.0459770113229751,0,0,0,0,POLICE_STATION::HAL Old Airport (Cluster 664),92
BTP051 - Safina Plaza Junction (Cluster 74),1,19.39493925912312,19.39493925912312,19.39493925912312,14.15296613335174,14.15296613335174,0.7189355691274008,0,0,0,0,BTP051 - Safina Plaza Junction (Cluster 74),93
BTP126 - Dairy Circle (Cluster 599),1,19.374937982176686,19.374937982176686,19.374937982176686,5.43902347187074,5.43902347187074,0.8254520694414774,0,0,0,0,BTP126 - Dairy Circle (Cluster 599),94
BTP028 - Vijayanagar Bus Stand Junction (Cluster 154),1,19.321652277044503,19.321652277044503,19.321652277044503,50.72723720999378,50.72723720999378,0.0,0,0,0,0,BTP028 - Vijayanagar Bus Stand Junction (Cluster 154),95
POLICE_STATION::Jnanabharathi (Cluster 406),1,19.271239839739124,19.271239839739124,19.271239839739124,12.769788247667243,12.769788247667243,0.7073952356974283,0,0,0,0,POLICE_STATION::Jnanabharathi (Cluster 406),96
POLICE_STATION::Jeevanbheemanagar (Cluster 559),1,19.189173001475833,19.189173001475833,19.189173001475833,5.7855963879381305,5.7855963879381305,0.6682539780934652,0,0,0,0,POLICE_STATION::Jeevanbheemanagar (Cluster 559),97
POLICE_STATION::Mahadevapura (Cluster 299),1,19.11021543028041,19.11021543028041,19.11021543028041,11.879188098667226,11.879188098667226,0.6312206784884135,0,0,0,0,POLICE_STATION::Mahadevapura (Cluster 299),98
BTP067 - Jai Muni Rao Circle (Cluster 619),1,19.10412391182626,19.10412391182626,19.10412391182626,4.730280367012828,4.730280367012828,0.7949319084485372,0,0,0,0,BTP067 - Jai Muni Rao Circle (Cluster 619),99
POLICE_STATION::Jeevanbheemanagar (Cluster 230),1,18.99581022122006,18.99581022122006,18.99581022122006,10.569839906304068,10.569839906304068,0.7424383759498596,0,0,0,0,POLICE_STATION::Jeevanbheemanagar (Cluster 230),100
POLICE_STATION::Malleshwaram (Cluster 654),1,18.878159538962326,18.878159538962326,18.878159538962326,50.21564046029938,50.21564046029938,0.0,0,0,0,0,POLICE_STATION::Malleshwaram (Cluster 654),101
BTP054 - Shivananda Circle (Cluster 551),1,18.659028551174163,18.659028551174163,18.659028551174163,11.173968078088215,11.173968078088215,0.673848032951355,0,0,0,0,BTP054 - Shivananda Circle (Cluster 551),102
POLICE_STATION::Bellandur (Cluster 259),1,18.57527760894128,18.57527760894128,18.57527760894128,15.381114870906124,15.381114870906124,0.7445603807767233,0,0,0,0,POLICE_STATION::Bellandur (Cluster 259),103
BTP098 - Nayandahalli Junction (Cluster 224),1,18.555715791818,18.555715791818,18.555715791818,53.92306615770623,53.92306615770623,0.0,0,0,0,0,BTP098 - Nayandahalli Junction (Cluster 224),104
"BTP170 - Dr. Bheem Rao Palace, Chord Road (Cluster 396)",1,18.533688835486462,18.533688835486462,18.533688835486462,10.180119831244166,10.180119831244166,0.7189355691274008,0,0,0,0,"BTP170 - Dr. Bheem Rao Palace, Chord Road (Cluster 396)",105
POLICE_STATION::Malleshwaram (Cluster 23),1,18.52268941086864,18.52268941086864,18.52268941086864,11.676981409741629,11.676981409741629,0.7060678402582804,0,0,0,0,POLICE_STATION::Malleshwaram (Cluster 23),106
"BTP115 - Sahasra Hospital, Jayanagar (Cluster 367)",1,18.507089540883488,18.507089540883488,18.507089540883488,14.010806360411236,14.010806360411236,0.6428089042504629,0,0,0,0,"BTP115 - Sahasra Hospital, Jayanagar (Cluster 367)",107
BTP220 - Puttanna Junction (Cluster 34),1,18.460715905307634,18.460715905307634,18.460715905307634,8.810580638075088,8.810580638075088,0.700460414091746,0,0,0,0,BTP220 - Puttanna Junction (Cluster 34),108
POLICE_STATION::Hulimavu (Cluster 760),1,18.45857264052543,18.45857264052543,18.45857264052543,38.28217834066644,38.28217834066644,0.0810647308826446,0,0,0,0,POLICE_STATION::Hulimavu (Cluster 760),109
POLICE_STATION::Mahadevapura (Cluster 104),1,18.38028529348252,18.38028529348252,18.38028529348252,16.36573171892057,16.36573171892057,0.5812124411265055,0,0,0,0,POLICE_STATION::Mahadevapura (Cluster 104),110
POLICE_STATION::Halasur (Cluster 359),1,18.34734015551115,18.34734015551115,18.34734015551115,13.4940079524119,13.4940079524119,0.6381963690121969,0,0,0,0,POLICE_STATION::Halasur (Cluster 359),111
POLICE_STATION::HAL Old Airport (Cluster 348),1,18.265190806525947,18.265190806525947,18.265190806525947,11.33728822534776,11.33728822534776,0.7217882871627808,0,0,0,0,POLICE_STATION::HAL Old Airport (Cluster 348),112
BTP104 - Medical College Circle (Cluster 673),1,18.068258764823163,18.068258764823163,18.068258764823163,47.71957867043279,47.71957867043279,0.0,0,0,0,0,BTP104 - Medical College Circle (Cluster 673),113
BTP218 - Syndicate Bank Junction (Cluster 31),1,18.062177236577465,18.062177236577465,18.062177236577465,17.21808396995168,17.21808396995168,0.631633996963501,0,0,0,0,BTP218 - Syndicate Bank Junction (Cluster 31),114
POLICE_STATION::Kodigehalli (Cluster 91),1,18.03258397830115,18.03258397830115,18.03258397830115,14.329052572567612,14.329052572567612,0.5685480833053589,0,0,0,0,POLICE_STATION::Kodigehalli (Cluster 91),115
BTP171 - Indian Express (Balekundri) (Cluster 532),1,18.003795258903104,18.003795258903104,18.003795258903104,46.50263103209884,46.50263103209884,0.0,0,0,0,0,BTP171 - Indian Express (Balekundri) (Cluster 532),116
POLICE_STATION::HAL Old Airport (Cluster 96),1,17.780748277277,17.780748277277,17.780748277277,46.845283306579056,46.845283306579056,0.0,0,0,0,0,POLICE_STATION::HAL Old Airport (Cluster 96),117
POLICE_STATION::HAL Old Airport (Cluster 7),1,17.73329205241142,17.73329205241142,17.73329205241142,19.370130216607716,19.370130216607716,0.5998879671096802,0,0,0,0,POLICE_STATION::HAL Old Airport (Cluster 7),118
POLICE_STATION::Kodigehalli (Cluster 38),1,17.41928636578817,17.41928636578817,17.41928636578817,36.16013187561157,36.16013187561157,0.0810647308826446,0,0,0,0,POLICE_STATION::Kodigehalli (Cluster 38),119
POLICE_STATION::HAL Old Airport (Cluster 602),1,17.330081846882788,17.330081846882788,17.330081846882788,49.20945547278018,49.20945547278018,0.0,0,0,0,0,POLICE_STATION::HAL Old Airport (Cluster 602),120
POLICE_STATION::Rajajinagar (Cluster 172),1,17.16196035665035,17.16196035665035,17.16196035665035,47.94153779700356,47.94153779700356,0.0,0,0,0,0,POLICE_STATION::Rajajinagar (Cluster 172),121
"BTP062 - Basava Mantapa, Dr. Rajkumar Road (Cluster 628)",1,17.144921896711658,17.144921896711658,17.144921896711658,7.1047923712947325,7.1047923712947325,0.5888989567756653,0,0,0,0,"BTP062 - Basava Mantapa, Dr. Rajkumar Road (Cluster 628)",122
POLICE_STATION::K.S. Layout (Cluster 439),1,17.140233205440435,17.140233205440435,17.140233205440435,40.150421897912025,40.150421897912025,0.0350877195596694,0,0,0,0,POLICE_STATION::K.S. Layout (Cluster 439),123
BTP208 - Havanur Circle (Cluster 408),1,17.1255600689995,17.1255600689995,17.1255600689995,48.33389661285637,48.33389661285637,0.0,0,0,0,0,BTP208 - Havanur Circle (Cluster 408),124
